ProjectUnit = FCADE1T10
Summary Report = Surface Fuels
Report Attribute = 10-hr
Units = Tons per Acre

Macroplot,Pre00-Attr,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Re01Year05-Attr,Re01Year05-Diff,Re01Year05-%Diff,Re01Year10-Attr,Re01Year10-Diff,Re01Year10-%Diff
FCADE1T1001,2.74,0.61,-2.13,-77.78,1.22,-1.52,-55.57,1.90,-0.84,-30.55,5.71,2.97,108.38
FCADE1T1002,4.26,0.53,-3.73,-87.50,0.91,-3.35,-78.57,1.52,-2.74,-64.29,2.59,-1.67,-39.28
FCADE1T1003,2.21,0.99,-1.22,-55.16,0.84,-1.37,-62.06,2.21,0.00,0.02,2.74,0.53,24.16
Mean,3.07,0.71,2.36,76.85,0.99,2.08,67.77,1.88,1.19,38.83,3.68,-0.61,-19.87
