ProjectUnit = FCADE1T10
Summary Report = Surface Fuels
Report Attribute = 1000-hr Sound
Units = Tons per Acre

Macroplot,Pre00-Attr,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Re01Year05-Attr,Re01Year05-Diff,Re01Year05-%Diff,Re01Year10-Attr,Re01Year10-Diff,Re01Year10-%Diff
FCADE1T1001,34.30,66.92,32.62,95.11,86.31,52.02,151.67,19.37,-14.93,-43.52,76.65,42.36,123.50
FCADE1T1002,66.91,90.55,23.64,35.32,104.43,37.52,56.07,146.09,79.18,118.33,62.48,-4.43,-6.62
FCADE1T1003,7.19,10.13,2.94,40.83,9.84,2.64,36.77,39.53,32.34,449.60,57.53,50.33,699.80
Mean,36.13,55.87,-19.73,-54.60,66.86,-30.73,-85.03,68.33,-32.20,-89.10,65.55,-29.42,-81.42
