ProjectUnit = FCADE1T10
Summary Report = Surface Fuels
Report Attribute = Duff depth
Units = Inches

Macroplot,Pre00-Attr,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Re01Year05-Attr,Re01Year05-Diff,Re01Year05-%Diff,Re01Year10-Attr,Re01Year10-Diff,Re01Year10-%Diff
FCADE1T1001,2.15,0.03,-2.12,-98.60,0.20,-1.95,-90.58,0.10,-2.05,-95.47,0.63,-1.52,-70.70
FCADE1T1002,2.46,0.06,-2.40,-97.46,0.12,-2.35,-95.23,0.62,-1.84,-74.72,0.52,-1.94,-78.78
FCADE1T1003,3.11,0.10,-3.01,-96.70,0.63,-2.48,-79.73,0.52,-2.59,-83.43,0.79,-2.32,-74.66
Mean,2.57,0.07,2.51,97.47,0.32,2.26,87.69,0.41,2.16,84.00,0.65,1.93,74.87
