ProjectUnit = FCADE1T10
Summary Report = Surface Fuels
Report Attribute = Total
Units = Tons per Acre

Macroplot,Pre00-Attr,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Re01Year05-Attr,Re01Year05-Diff,Re01Year05-%Diff,Re01Year10-Attr,Re01Year10-Diff,Re01Year10-%Diff
FCADE1T1001,118.51,72.09,-46.41,-39.16,93.27,-25.24,-21.30,60.10,-58.40,-49.28,97.59,-20.92,-17.65
FCADE1T1002,154.00,94.22,-59.78,-38.82,138.75,-15.25,-9.91,207.77,53.77,34.92,143.70,-10.30,-6.69
FCADE1T1003,88.26,18.10,-70.15,-79.49,21.49,-66.76,-75.65,56.61,-31.65,-35.86,95.37,7.12,8.06
Mean,120.25,61.47,58.78,48.88,84.50,35.75,29.73,108.16,12.09,10.06,112.22,8.03,6.68
