ProjectUnit = FBOGR1T02
Summary Report = Surface Fuels
Report Attribute = 1-hr
Units = Tons per Acre

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,01YEAR3-Attr,01YEAR3-Diff,01YEAR3-%Diff,01YEAR5-Attr,01YEAR5-Diff,01YEAR5-%Diff,01YEAR11-Attr,01YEAR11-Diff,01YEAR11-%Diff,02PRE-Attr,02PRE-Diff,02PRE-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR2-Attr,02YEAR2-Diff,02YEAR2-%Diff,02YEAR5-Attr,02YEAR5-Diff,02YEAR5-%Diff,02YEAR10-Attr,02YEAR10-Diff,02YEAR10-%Diff
B:FBOGR1T02:01,0.03,***,***,***,***,***,***,***,***,***,0.02,0.00,-14.29,0.05,0.02,71.43,***,***,***,0.10,0.07,257.14,0.06,0.04,128.57,0.02,-0.01,-28.57,0.02,0.00,-14.29,0.02,-0.01,-28.57,0.13,0.10,357.14
B:FBOGR1T02:02,0.11,0.02,-0.09,-85.18,0.00,-0.10,-96.30,***,***,***,0.00,-0.11,-100.00,0.07,-0.04,-33.33,0.01,-0.10,-88.89,0.00,-0.11,-100.00,0.00,-0.11,-100.00,0.00,-0.11,-100.00,0.01,-0.10,-88.89,***,***,***,***,***,***
B:FBOGR1T02:03,0.11,0.02,-0.09,-81.48,0.00,-0.10,-96.30,***,***,***,0.00,-0.11,-100.00,0.08,-0.03,-29.63,0.00,-0.11,-100.00,***,***,***,0.00,-0.10,-96.30,0.00,-0.11,-100.00,0.00,-0.11,-100.00,***,***,***,***,***,***
B:FBOGR1T02:04,0.09,0.04,-0.06,-60.87,0.00,-0.09,-95.65,***,***,***,0.01,-0.08,-91.30,0.05,-0.04,-43.48,0.01,-0.08,-91.30,***,***,***,0.00,-0.09,-100.00,0.00,-0.09,-100.00,0.00,-0.09,-100.00,***,***,***,***,***,***
B:FBOGR1T02:05,0.00,***,***,***,0.06,0.06,***,0.02,0.02,***,***,***,***,0.02,0.02,***,***,***,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FBOGR1T02:06,0.01,***,***,***,0.23,0.22,2799.98,0.06,0.06,699.98,***,***,***,0.00,-0.01,-100.00,***,***,***,0.00,-0.01,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FBOGR1T02:07,0.00,***,***,***,0.14,0.14,3399.87,0.03,0.03,699.97,***,***,***,0.02,0.02,400.00,0.07,0.07,1700.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FBOGR1T02:08,0.01,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FBOGR1T02:11,0.16,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FBOGR1T02:12,0.18,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FBOGR1T02:13,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FBOGR1T02:14,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FBOGR1T02:30,0.00,***,***,***,0.01,0.01,***,0.01,0.01,***,***,***,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,0.05,0.02,0.03,55.43,0.06,-0.01,-20.97,0.03,0.02,44.29,0.01,0.05,85.14,0.04,0.02,34.07,0.02,0.03,57.29,0.02,0.03,53.57,0.02,0.04,68.43,0.00,0.05,90.71,0.01,0.04,83.29,0.02,0.03,62.86,0.13,-0.07,-137.71
