ProjectUnit = FBOGR1T02
Summary Report = Surface Fuels
Report Attribute = 10-hr
Units = Tons per Acre

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,01YEAR3-Attr,01YEAR3-Diff,01YEAR3-%Diff,01YEAR5-Attr,01YEAR5-Diff,01YEAR5-%Diff,01YEAR11-Attr,01YEAR11-Diff,01YEAR11-%Diff,02PRE-Attr,02PRE-Diff,02PRE-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR2-Attr,02YEAR2-Diff,02YEAR2-%Diff,02YEAR5-Attr,02YEAR5-Diff,02YEAR5-%Diff,02YEAR10-Attr,02YEAR10-Diff,02YEAR10-%Diff
B:FBOGR1T02:01,0.99,***,***,***,***,***,***,***,***,***,0.61,-0.38,-38.46,0.30,-0.68,-69.23,***,***,***,0.08,-0.91,-92.31,0.30,-0.68,-69.23,0.61,-0.38,-38.46,1.22,0.23,23.08,0.84,-0.15,-15.38,1.37,0.38,38.46
B:FBOGR1T02:02,0.15,0.00,-0.15,-100.00,0.00,-0.15,-100.00,***,***,***,0.15,0.00,0.00,0.15,0.00,0.00,0.00,-0.15,-100.00,0.00,-0.15,-100.00,0.00,-0.15,-100.00,0.00,-0.15,-100.00,0.00,-0.15,-100.00,***,***,***,***,***,***
B:FBOGR1T02:03,0.08,0.00,-0.08,-100.00,0.00,-0.08,-100.00,***,***,***,0.00,-0.08,-100.00,0.00,-0.08,-100.00,0.00,-0.08,-100.00,***,***,***,0.00,-0.08,-100.00,0.00,-0.08,-100.00,0.00,-0.08,-100.00,***,***,***,***,***,***
B:FBOGR1T02:04,0.08,0.30,0.23,300.00,0.08,0.00,0.01,***,***,***,0.08,0.00,0.01,0.15,0.08,100.03,0.00,-0.08,-100.00,***,***,***,0.00,-0.08,-100.00,0.00,-0.08,-100.00,0.00,-0.08,-100.00,***,***,***,***,***,***
B:FBOGR1T02:05,0.00,***,***,***,0.08,0.08,***,0.00,0.00,0.00,***,***,***,0.00,0.00,0.00,***,***,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FBOGR1T02:06,0.00,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,0.00,0.00,0.00,***,***,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FBOGR1T02:07,0.15,***,***,***,0.15,0.00,0.00,0.30,0.15,100.00,***,***,***,0.08,-0.08,-50.00,0.15,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FBOGR1T02:08,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FBOGR1T02:11,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FBOGR1T02:12,1.44,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FBOGR1T02:13,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FBOGR1T02:14,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FBOGR1T02:30,0.00,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,0.22,0.10,0.12,54.39,0.04,0.18,80.45,0.08,0.15,65.79,0.21,0.01,5.92,0.09,0.14,61.51,0.04,0.18,82.89,0.02,0.20,91.45,0.08,0.15,65.79,0.15,0.07,31.58,0.30,-0.08,-36.84,0.84,-0.61,-276.31,1.37,-1.15,-515.79
