ProjectUnit = PLEX1T02
Summary Report = Surface Fuels
Report Attribute = 1-hr
Units = Tons per Acre

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR3-Attr,02YEAR3-Diff,02YEAR3-%Diff,02YEAR6-Attr,02YEAR6-Diff,02YEAR6-%Diff
B:FPLEX1T02:01,0.16,0.02,-0.13,-84.63,0.18,0.02,10.47,0.05,-0.11,-69.17,0.04,-0.11,-71.63,0.07,-0.09,-55.68,0.30,0.14,88.40
B:FPLEX1T02:02,0.05,0.02,-0.03,-61.53,0.21,0.15,286.24,0.00,-0.05,-92.42,0.05,-0.01,-15.23,0.03,-0.02,-38.74,0.16,0.10,192.84
B:FPLEX1T02:03,0.11,0.06,-0.05,-42.50,0.02,-0.09,-80.84,0.06,-0.04,-42.42,0.02,-0.09,-84.61,0.02,-0.09,-80.70,0.01,-0.10,-92.28
B:FPLEX1T02:04,0.04,0.04,0.00,-11.37,0.05,0.01,17.30,0.04,0.00,-11.82,0.02,-0.02,-41.25,0.03,-0.01,-21.90,0.05,0.01,18.12
B:FPLEX1T02:05,0.05,0.03,-0.02,-45.64,0.03,-0.02,-46.63,0.01,-0.04,-77.37,0.00,-0.05,-100.00,0.03,-0.02,-45.83,0.03,-0.02,-38.52
B:FPLEX1T02:06,0.04,0.02,-0.02,-54.98,0.03,0.00,-9.62,0.00,-0.03,-88.82,0.00,-0.04,-100.00,0.00,-0.03,-88.96,0.00,-0.04,-100.00
B:FPLEX1T02:07,0.01,0.04,0.02,200.86,0.02,0.01,69.15,0.02,0.01,69.68,0.00,-0.01,-100.00,0.00,-0.01,-100.00,0.00,-0.01,-66.24
B:FPLEX1T02:08,0.01,0.08,0.07,563.91,0.01,0.00,-34.31,0.01,0.00,-33.69,0.04,0.02,201.23,0.07,0.05,436.61,0.00,-0.01,-66.31
B:FPLEX1T02:09,0.09,0.04,-0.05,-51.86,0.02,-0.07,-74.20,0.03,-0.06,-69.64,0.04,-0.05,-56.23,0.02,-0.08,-82.68,0.00,-0.09,-100.00
B:FPLEX1T02:10,0.18,0.40,0.22,119.62,0.51,0.33,178.66,0.08,-0.10,-55.63,0.17,-0.02,-9.03,0.19,0.01,5.82,***,***,***
B:FPLEX1T02:11,0.01,0.02,0.01,67.18,0.02,0.01,99.80,0.02,0.01,99.03,0.04,0.03,266.41,0.02,0.00,34.17,0.06,0.04,369.14
B:FPLEX1T02:12,0.04,0.00,-0.04,-100.00,0.02,-0.03,-63.64,0.00,-0.04,-100.00,0.04,-0.01,-18.18,0.10,0.06,127.27,0.06,0.01,27.27
B:FPLEX1T02:13,0.06,0.04,-0.02,-29.31,0.04,-0.02,-35.73,0.03,-0.03,-50.38,0.04,-0.02,-28.75,0.02,-0.04,-71.89,0.07,0.02,27.26
B:FPLEX1T02:14,0.06,0.07,0.01,20.75,0.06,0.01,13.90,0.02,-0.04,-64.49,0.04,-0.02,-29.17,0.01,-0.04,-78.54,0.02,-0.04,-64.09
B:FPLEX1T02:15,0.05,0.03,-0.02,-45.75,0.05,0.00,-8.21,0.04,-0.02,-30.79,0.03,-0.02,-38.73,0.00,-0.05,-100.00,0.02,-0.03,-61.43
B:FPLEX1T02:16,0.04,0.02,-0.01,-33.32,0.01,-0.03,-77.72,0.02,-0.02,-55.59,0.09,0.05,144.15,0.02,-0.01,-33.49,0.01,-0.03,-77.44
B:FPLEX1T02:17,0.06,0.03,-0.03,-50.00,0.12,0.05,81.29,0.04,-0.03,-43.75,0.05,-0.01,-18.74,0.02,-0.04,-68.75,0.08,0.02,25.02
B:FPLEX1T02:18,0.04,0.02,-0.02,-59.71,0.04,0.00,-9.49,0.02,-0.02,-39.90,0.03,-0.01,-29.78,0.02,-0.02,-60.15,0.03,-0.01,-19.75
Mean,0.06,0.05,0.01,11.59,0.08,-0.02,-28.20,0.03,0.03,55.96,0.04,0.02,33.75,0.04,0.02,39.89,0.05,0.01,14.39
