ProjectUnit = PLEX1T02
Summary Report = Surface Fuels
Report Attribute = 10-hr
Units = Tons per Acre

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR3-Attr,02YEAR3-Diff,02YEAR3-%Diff,02YEAR6-Attr,02YEAR6-Diff,02YEAR6-%Diff
B:FPLEX1T02:01,3.30,1.65,-1.65,-50.04,2.11,-1.19,-36.12,1.02,-2.28,-69.15,0.63,-2.66,-80.81,0.48,-2.82,-85.55,1.09,-2.20,-66.89
B:FPLEX1T02:02,0.78,0.63,-0.15,-19.03,0.55,-0.22,-28.85,0.63,-0.15,-19.23,0.71,-0.07,-8.67,0.62,-0.15,-19.58,1.57,0.79,101.64
B:FPLEX1T02:03,0.78,1.08,0.31,39.43,1.32,0.54,69.95,0.85,0.07,9.51,0.77,0.00,-0.22,1.00,0.22,28.30,0.38,-0.39,-50.70
B:FPLEX1T02:04,0.78,0.54,-0.24,-30.62,0.70,-0.08,-10.32,0.70,-0.08,-10.24,1.33,0.55,70.77,1.02,0.24,31.37,2.02,1.25,160.42
B:FPLEX1T02:05,1.55,0.86,-0.69,-44.31,1.01,-0.54,-35.03,0.62,-0.93,-59.73,1.57,0.02,1.40,1.32,-0.23,-14.62,2.52,0.97,62.45
B:FPLEX1T02:06,1.38,1.23,-0.15,-10.66,1.23,-0.15,-11.00,0.16,-1.22,-88.68,0.46,-0.92,-66.47,0.54,-0.84,-60.87,0.78,-0.60,-43.52
B:FPLEX1T02:07,1.78,1.47,-0.31,-17.38,2.56,0.78,43.96,1.08,-0.69,-39.01,0.08,-1.70,-95.64,0.31,-1.47,-82.70,0.54,-1.24,-69.58
B:FPLEX1T02:08,0.70,1.71,1.02,145.93,0.47,-0.23,-33.08,0.62,-0.07,-10.68,1.48,0.78,112.31,1.09,0.39,56.23,0.23,-0.46,-66.32
B:FPLEX1T02:09,0.71,1.71,1.00,141.68,0.77,0.07,9.61,0.62,-0.09,-12.42,1.55,0.84,119.22,0.85,0.14,19.70,0.12,-0.59,-83.15
B:FPLEX1T02:10,0.63,1.64,1.01,161.59,2.03,1.40,223.78,1.09,0.46,74.07,0.93,0.30,48.52,3.18,2.56,408.28,***,***,***
B:FPLEX1T02:11,0.99,0.84,-0.15,-14.97,2.37,1.38,138.57,0.84,-0.15,-15.22,1.00,0.00,0.29,1.91,0.92,92.76,1.38,0.39,39.19
B:FPLEX1T02:12,0.68,0.08,-0.61,-88.89,0.00,-0.68,-100.00,0.15,-0.53,-77.78,1.29,0.61,88.89,1.44,0.76,111.11,2.13,1.44,211.11
B:FPLEX1T02:13,1.31,0.69,-0.61,-46.96,0.85,-0.46,-34.91,0.54,-0.77,-59.03,1.62,0.31,23.69,1.70,0.39,30.09,1.48,0.17,13.15
B:FPLEX1T02:14,1.93,1.77,-0.15,-8.04,2.31,0.38,19.92,1.39,-0.54,-27.93,0.31,-1.62,-83.87,0.62,-1.31,-67.88,0.54,-1.38,-71.84
B:FPLEX1T02:15,1.48,1.39,-0.08,-5.55,1.31,-0.16,-11.11,0.77,-0.70,-47.76,0.54,-0.94,-63.68,0.31,-1.17,-79.10,0.54,-0.94,-63.51
B:FPLEX1T02:16,0.30,0.53,0.23,74.91,0.23,-0.08,-24.85,0.23,-0.07,-24.39,0.92,0.62,202.14,0.69,0.38,125.80,0.31,0.00,1.04
B:FPLEX1T02:17,0.76,0.46,-0.30,-40.00,0.38,-0.38,-50.00,0.84,0.08,10.00,0.53,-0.23,-30.01,1.14,0.38,49.98,1.22,0.46,60.00
B:FPLEX1T02:18,1.30,0.38,-0.91,-70.45,1.15,-0.15,-11.47,1.84,0.54,41.35,1.15,-0.15,-11.45,1.76,0.46,35.34,1.22,-0.07,-5.77
Mean,1.17,1.04,0.14,11.57,1.19,-0.01,-1.05,0.78,0.40,33.79,0.94,0.24,20.09,1.11,0.06,5.36,1.06,0.11,9.33
