RegistrationUnit_Name,ProjectUnit_Name,MacroPlot_Name,Multi_PU,SampleEvent_Date,SampleEvent_DefaultMonitoringStatus,MonitoringStatus_Name,Protocols,Visited,SampleEvent_TreatmentUnit
YOSE,RAP ASS ,20IN 4,N,11/14/05 11:38,,01POSTPILE,Surface Fuels,Y,
YOSE,RAP ASS ,20IN 4,N,9/19/06 13:22,,01PILEBURNYR01,Surface Fuels,Y,
YOSE,RAP ASS ,20IN 4,N,6/3/08 12:50,,01PILEBURNYR03,Surface Fuels,Y,
YOSE,RAP ASS ,20IN 5,N,6/29/04 11:22,,Pre00,Post Burn Severity (metric),N,
YOSE,RAP ASS ,20IN 5,N,6/29/04 11:22,,Pre00,Surface Fuels,Y,
YOSE,RAP ASS ,20IN 5,N,11/14/05 11:38,,01POSTPILE,Post Burn Severity (metric),Y,
YOSE,RAP ASS ,20IN 5,N,11/14/05 11:38,,01POSTPILE,Surface Fuels,Y,
YOSE,RAP ASS ,20IN 5,N,9/25/06 13:22,,01PILEBURNYR01,Surface Fuels,Y,
YOSE,RAP ASS ,20IN 5,N,6/3/08 12:50,,01PILEBURNYR03,Surface Fuels,Y,
YOSE,RAP ASS ,20IN 6,N,6/29/04 11:23,,Pre00,Surface Fuels,Y,
YOSE,RAP ASS ,20IN 6,N,11/3/05 11:39,,01POSTPILEBURN,Post Burn Severity (metric),Y,
YOSE,RAP ASS ,20IN 6,N,11/3/05 11:39,,01POSTPILEBURN,Surface Fuels,Y,
YOSE,RAP ASS ,20IN 6,N,9/19/06 13:23,,01PILEBURNYR01,Surface Fuels,Y,
YOSE,RAP ASS ,20IN 6,N,6/3/08 12:50,,01PILEBURNYR03,Surface Fuels,Y,
YOSE,RAP ASS ,20IN 7,N,6/29/04 11:23,,Pre00,Post Burn Severity (metric),N,
YOSE,RAP ASS ,20IN 7,N,6/29/04 11:23,,Pre00,Surface Fuels,Y,
YOSE,RAP ASS ,20IN 7,N,11/3/05 11:41,,01POSTPILEBURN,Post Burn Severity (metric),Y,
YOSE,RAP ASS ,20IN 7,N,11/3/05 11:41,,01POSTPILEBURN,Surface Fuels,Y,
YOSE,RAP ASS ,20IN 7,N,9/25/06 13:23,,01PILEBURNYR01,Surface Fuels,Y,
YOSE,RAP ASS ,20IN 7,N,6/14/08 12:51,,01PILEBURNYR03,Surface Fuels,Y,
YOSE,RAP ASS ,20IN 8,N,7/8/04 11:23,,Pre00,Surface Fuels,Y,
YOSE,RAP ASS ,20IN 8,N,9/20/06 13:23,,01PILEBURNYR01,Surface Fuels,Y,
YOSE,RAP ASS ,20IN 8,N,6/3/08 12:51,,01PILEBURNYR03,Surface Fuels,Y,
YOSE,RAP ASS ,20IN 9,N,7/8/04 11:24,,Pre00,Post Burn Severity (metric),N,
YOSE,RAP ASS ,20IN 9,N,7/8/04 11:24,,Pre00,Surface Fuels,Y,
YOSE,RAP ASS ,20IN 9,N,11/15/05 13:13,,01POSTPILEBURN,Post Burn Severity (metric),Y,
YOSE,RAP ASS ,20IN 9,N,11/15/05 13:13,,01POSTPILEBURN,Surface Fuels,Y,
YOSE,RAP ASS ,20IN 9,N,9/20/06 13:24,,01PILEBURNYR01,Surface Fuels,Y,
YOSE,RAP ASS ,20IN 9,N,6/4/08 12:51,,01PILEBURNYR03,Surface Fuels,Y,
YOSE,RETRO FUELS,ASPEN VALLEY,N,7/22/03 16:09,Re02Year5,Re02Year5,Surface Fuels,Y,
YOSE,RETRO FUELS,ASPEN VALLEY,N,9/9/09 9:58,Re02year11,Re02year11,Surface Fuels,Y,
YOSE,PILA FUELS,B01,N,9/15/04 11:04,,Pre00,Surface Fuels,Y,
YOSE,PILA FUELS,B01,N,11/2/05 15:17,,Post01,Surface Fuels,Y,
YOSE,PILA FUELS,B01,N,10/19/06 7:46,,Re01Year01,Surface Fuels,Y,
YOSE,PILA FUELS,B01,N,9/6/07 11:06,,Re01Year02,Surface Fuels,Y,
YOSE,PILA FUELS,B02,N,9/15/04 11:05,,Pre00,Surface Fuels,Y,
YOSE,PILA FUELS,B02,N,11/3/05 15:20,,Post01,Surface Fuels,Y,
YOSE,PILA FUELS,B02,N,10/19/06 7:47,,Re01Year01,Surface Fuels,Y,
YOSE,PILA FUELS,B02,N,9/6/07 11:07,,Re01Year02,Surface Fuels,Y,
YOSE,PILA FUELS,B03,N,9/15/04 11:05,,Pre00,Surface Fuels,Y,
YOSE,PILA FUELS,B03,N,11/3/05 15:38,,Post01,Surface Fuels,Y,
YOSE,PILA FUELS,B03,N,10/19/06 7:47,,Re01Year01,Surface Fuels,Y,
YOSE,PILA FUELS,B03,N,9/6/07 11:08,,Re01Year02,Surface Fuels,Y,
YOSE,PILA FUELS,B04,N,9/16/04 11:06,,Pre00,Surface Fuels,Y,
YOSE,PILA FUELS,B04,N,11/3/05 15:38,,Post01,Surface Fuels,Y,
YOSE,PILA FUELS,B04,N,10/19/06 7:48,,Re01Year01,Surface Fuels,Y,
YOSE,PILA FUELS,B04,N,9/6/07 11:08,,Re01Year02,Surface Fuels,Y,
YOSE,PILA FUELS,B05,N,9/16/04 11:06,,Pre00,Surface Fuels,Y,
YOSE,PILA FUELS,B05,N,11/2/05 15:41,,Post01,Surface Fuels,Y,
YOSE,PILA FUELS,B05,N,10/19/06 7:48,,Re01Year01,Surface Fuels,Y,
YOSE,PILA FUELS,B05,N,9/6/07 11:08,,Re01Year02,Surface Fuels,Y,
YOSE,PILA FUELS,B06,N,9/16/04 11:07,,Pre00,Surface Fuels,Y,
YOSE,PILA FUELS,B06,N,11/2/05 15:41,,Post01,Surface Fuels,Y,
YOSE,PILA FUELS,B06,N,10/19/06 7:49,,Re01Year01,Surface Fuels,Y,
YOSE,PILA FUELS,B06,N,9/6/07 11:09,,Re01Year02,Surface Fuels,Y,
YOSE,PILA FUELS,B07,N,9/16/04 11:07,,Pre00,Surface Fuels,Y,
YOSE,PILA FUELS,B07,N,11/2/05 15:42,,Post01,Surface Fuels,Y,
YOSE,PILA FUELS,B07,N,10/19/06 7:49,,Re01Year01,Surface Fuels,Y,
YOSE,PILA FUELS,B07,N,9/6/07 11:09,,Re01Year02,Surface Fuels,Y,
YOSE,PILA FUELS,B08,N,9/17/04 11:08,,Pre00,Surface Fuels,Y,
YOSE,PILA FUELS,B08,N,11/3/05 15:42,,Post01,Surface Fuels,Y,
YOSE,PILA FUELS,B08,N,10/19/06 7:49,,Re01Year01,Surface Fuels,Y,
YOSE,PILA FUELS,B08,N,9/6/07 11:11,,Re01Year02,Surface Fuels,Y,
YOSE,PILA FUELS,B09,N,9/17/04 11:08,,Pre00,Surface Fuels,Y,
YOSE,PILA FUELS,B09,N,11/2/05 15:42,,Post01,Surface Fuels,Y,
YOSE,PILA FUELS,B09,N,10/19/06 7:50,,Re01Year01,Surface Fuels,Y,
YOSE,PILA FUELS,B09,N,9/6/07 11:11,,Re01Year02,Surface Fuels,Y,
YOSE,PILA FUELS,B10,N,9/17/04 11:08,,Pre00,Surface Fuels,Y,
YOSE,PILA FUELS,B10,N,11/3/05 15:42,,Post01,Surface Fuels,Y,
YOSE,PILA FUELS,B10,N,10/19/06 8:25,,Re01Year01,Surface Fuels,Y,
YOSE,PILA FUELS,B10,N,9/6/07 11:11,,Re01Year02,Surface Fuels,Y,
YOSE,PILA FUELS,B11,N,9/30/04 11:09,,Pre00,Surface Fuels,Y,
YOSE,PILA FUELS,B11,N,11/2/05 15:43,,Post01,Surface Fuels,Y,
YOSE,PILA FUELS,B11,N,10/19/06 7:50,,Re01Year01,Surface Fuels,Y,
YOSE,PILA FUELS,B11,N,9/6/07 11:12,,Re01Year02,Surface Fuels,Y,
YOSE,PILA FUELS,B12,N,9/30/04 11:09,,Pre00,Surface Fuels,Y,
YOSE,PILA FUELS,B12,N,11/2/05 15:43,,Post01,Surface Fuels,Y,
YOSE,PILA FUELS,B12,N,10/19/06 7:51,,Re01Year01,Surface Fuels,Y,
YOSE,PILA FUELS,B12,N,9/6/07 11:12,,Re01Year02,Surface Fuels,Y,
YOSE,PILA FUELS,B13,N,9/30/04 11:10,,Pre00,Surface Fuels,Y,
YOSE,PILA FUELS,B13,N,11/2/05 15:44,,Post01,Surface Fuels,Y,
YOSE,PILA FUELS,B13,N,10/19/06 7:51,,Re01Year01,Surface Fuels,Y,
YOSE,PILA FUELS,B13,N,9/6/07 11:12,,Re01Year02,Surface Fuels,Y,
YOSE,PILA FUELS,B14,N,9/30/04 11:10,,Pre00,Surface Fuels,Y,
YOSE,PILA FUELS,B14,N,11/2/05 15:44,,Post01,Surface Fuels,Y,
YOSE,PILA FUELS,B14,N,10/19/06 7:52,,Re01Year01,Surface Fuels,Y,
YOSE,PILA FUELS,B14,N,9/6/07 11:13,,Re01Year02,Surface Fuels,Y,
YOSE,PILA FUELS,B15,N,10/1/04 11:10,,Pre00,Surface Fuels,Y,
YOSE,PILA FUELS,B15,N,11/2/05 15:44,,Post01,Surface Fuels,Y,
YOSE,PILA FUELS,B15,N,10/19/06 7:52,,Re01Year01,Surface Fuels,Y,
YOSE,PILA FUELS,B15,N,9/6/07 11:13,,Re01Year02,Surface Fuels,Y,
YOSE,PILA FUELS,B16,N,10/1/04 11:11,,Pre00,Surface Fuels,Y,
YOSE,PILA FUELS,B16,N,11/2/05 15:44,,Post01,Surface Fuels,Y,
YOSE,PILA FUELS,B16,N,10/19/06 7:52,,Re01Year01,Surface Fuels,Y,
YOSE,PILA FUELS,B16,N,9/6/07 11:13,,Re01Year02,Surface Fuels,Y,
YOSE,PILA FUELS,B17,N,10/1/04 11:11,,Pre00,Surface Fuels,Y,
YOSE,PILA FUELS,B17,N,11/2/05 15:45,,Post01,Surface Fuels,Y,
YOSE,PILA FUELS,B17,N,10/19/06 7:52,,Re01Year01,Surface Fuels,Y,
YOSE,PILA FUELS,B17,N,9/6/07 11:13,,Re01Year02,Surface Fuels,Y,
YOSE,PILA FUELS,B18,N,10/1/04 11:11,,Pre00,Surface Fuels,Y,
YOSE,PILA FUELS,B18,N,11/2/05 15:45,,Post01,Surface Fuels,Y,
YOSE,PILA FUELS,B18,N,10/19/06 7:53,,Re01Year01,Surface Fuels,Y,
YOSE,PILA FUELS,B18,N,9/6/07 11:14,,Re01Year02,Surface Fuels,Y,
YOSE,PILA FUELS,B19,N,10/1/04 11:12,,Pre00,Surface Fuels,Y,
YOSE,PILA FUELS,B19,N,11/2/05 15:45,,Post01,Surface Fuels,Y,
YOSE,PILA FUELS,B19,N,10/19/06 7:53,,Re01Year01,Surface Fuels,Y,
YOSE,PILA FUELS,B19,N,9/6/07 11:24,,Re01Year02,Surface Fuels,N,
YOSE,PILA FUELS,B20,N,10/5/04 11:12,,Pre00,Surface Fuels,Y,
YOSE,PILA FUELS,B20,N,11/2/05 15:46,,Post01,Surface Fuels,Y,
YOSE,PILA FUELS,B20,N,10/19/06 7:53,,Re01Year01,Surface Fuels,Y,
YOSE,PILA FUELS,B20,N,9/6/07 11:14,,Re01Year02,Surface Fuels,Y,
