ProjectUnit = FABMA1T08
Summary Report = Surface Fuels
Report Attribute = 100-hr
Units = Tons per Acre

Macroplot,Pre00-Attr,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Re01Year05-Attr,Re01Year05-Diff,Re01Year05-%Diff,Re01Year10-Attr,Re01Year10-Diff,Re01Year10-%Diff,02YR01-Attr,02YR01-Diff,02YR01-%Diff
FABMA1T0801,2.86,0.31,-2.54,-89.05,0.94,-1.91,-66.98,1.58,-1.28,-44.77,7.36,4.51,157.95,7.33,4.47,156.66,1.27,-1.59,-55.68
FABMA1T0802,3.14,1.91,-1.23,-39.17,2.53,-0.61,-19.40,2.83,-0.30,-9.72,1.87,-1.26,-40.26,8.15,5.02,159.92,***,***,***
Mean,3.00,1.11,1.89,62.94,1.74,1.26,42.07,2.20,0.79,26.42,4.62,-1.62,-54.19,7.74,-4.74,-158.37,1.27,1.73,57.76
