ProjectUnit = FABMA1T08
Summary Report = Surface Fuels
Report Attribute = 1000-hr Sound
Units = Tons per Acre

Macroplot,Pre00-Attr,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Re01Year05-Attr,Re01Year05-Diff,Re01Year05-%Diff,Re01Year10-Attr,Re01Year10-Diff,Re01Year10-%Diff,02YR01-Attr,02YR01-Diff,02YR01-%Diff
FABMA1T0801,18.12,4.37,-13.75,-75.86,0.00,-18.12,-100.00,0.72,-17.40,-96.03,31.78,13.65,75.31,11.36,-6.77,-37.35,7.91,-10.22,-56.37
FABMA1T0802,4.72,44.38,39.66,839.72,59.41,54.68,1157.80,83.77,79.04,1673.59,50.05,45.33,959.67,90.37,85.65,1813.37,***,***,***
Mean,11.42,24.38,-12.95,-113.40,29.70,-18.28,-160.01,42.24,-30.82,-269.78,40.91,-29.49,-258.12,50.86,-39.44,-345.22,7.91,3.52,30.78
