ProjectUnit = FPICO3D08
Summary Report = Surface Fuels
Report Attribute = 10-hr
Units = Tons per Acre

Macroplot,00Pro1-Attr,00Pre-Attr,00Pre-Diff,00Pre-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr02-Attr,01Yr02-Diff,01Yr02-%Diff,01Yr05-Attr,01Yr05-Diff,01Yr05-%Diff,01Yr09-Attr,01Yr09-Diff,01Yr09-%Diff
B:FPICO3D08:02,1.52,1.90,0.38,25.00,0.53,-0.99,-64.99,1.14,-0.38,-24.98,***,***,***,***,***,***
B:FPICO3D08:03,1.60,0.69,-0.91,-57.16,0.15,-1.45,-90.48,0.30,-1.30,-80.98,***,***,***,***,***,***
B:FPICO3D08:01,***,2.82,***,***,0.15,***,***,0.15,***,***,1.52,***,***,2.13,***,***
Mean,1.56,1.80,-0.24,-15.40,0.28,1.28,82.12,0.53,1.03,65.87,1.52,0.04,2.55,2.13,-0.57,-36.48
