ProjectUnit = FPICO3D08
Summary Report = Surface Fuels
Report Attribute = 100-hr
Units = Tons per Acre

Macroplot,00Pro1-Attr,00Pre-Attr,00Pre-Diff,00Pre-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr02-Attr,01Yr02-Diff,01Yr02-%Diff,01Yr05-Attr,01Yr05-Diff,01Yr05-%Diff,01Yr09-Attr,01Yr09-Diff,01Yr09-%Diff
B:FPICO3D08:02,0.30,1.82,1.51,499.97,0.30,0.00,0.00,0.30,0.00,0.00,***,***,***,***,***,***
B:FPICO3D08:03,3.94,1.21,-2.73,-69.23,0.30,-3.64,-92.32,0.00,-3.94,-100.00,***,***,***,***,***,***
B:FPICO3D08:01,***,1.51,***,***,0.00,***,***,0.30,***,***,1.21,***,***,3.33,***,***
Mean,2.12,1.51,0.61,28.64,0.20,1.92,90.49,0.20,1.92,90.49,1.21,0.91,42.93,3.33,-1.21,-56.95
