ProjectUnit = FPICO3D08
Summary Report = Surface Fuels
Report Attribute = Litter depth
Units = Inches

Macroplot,00Pro1-Attr,00Pre-Attr,00Pre-Diff,00Pre-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr02-Attr,01Yr02-Diff,01Yr02-%Diff,01Yr05-Attr,01Yr05-Diff,01Yr05-%Diff,01Yr09-Attr,01Yr09-Diff,01Yr09-%Diff
B:FPICO3D08:02,0.93,0.40,-0.53,-57.26,0.45,-0.49,-52.15,0.48,-0.45,-48.66,***,***,***,***,***,***
B:FPICO3D08:03,1.37,0.37,-1.00,-72.89,0.38,-0.99,-72.34,0.19,-1.17,-85.90,***,***,***,***,***,***
B:FPICO3D08:01,***,1.10,***,***,0.18,***,***,0.30,***,***,0.40,***,***,0.66,***,***
Mean,1.15,0.62,0.53,45.90,0.33,0.81,70.88,0.32,0.82,71.75,0.40,0.75,64.92,0.66,0.49,42.70
