ProjectUnit = FSEGI1T08
Summary Report = Surface Fuels
Report Attribute = 100-hr
Units = Tons per Acre

Macroplot,Pre00Year01-Attr,Pre00-Attr,Pre00-Diff,Pre00-%Diff,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Re01Year05-Attr,Re01Year05-Diff,Re01Year05-%Diff,Re01Year10-Attr,Re01Year10-Diff,Re01Year10-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff
FSEGI1T0801,3.63,2.12,-1.51,-41.66,1.21,-2.42,-66.65,1.51,-2.12,-58.33,2.12,-1.51,-41.66,***,***,***,***,***,***,***,***,***
FSEGI1T0808,3.66,1.82,-1.83,-50.14,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.61,-3.05,-83.35
FSEGI1T0802,***,2.12,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0803,***,1.82,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0804,***,4.03,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0805,***,2.73,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0806,***,3.68,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0807,***,1.53,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0809,***,1.28,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.32,***,***
FSEGI1T0810,***,0.61,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.42,***,***
FSEGI1T0812,***,2.44,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0813,***,0.97,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0820,***,3.93,***,***,0.61,***,***,0.61,***,***,1.21,***,***,1.51,***,***,2.72,***,***,***,***,***
Mean,3.64,2.24,1.41,38.57,0.91,2.74,75.08,1.06,2.58,70.93,1.66,1.98,54.32,1.51,2.13,58.48,2.72,0.92,25.25,1.12,2.53,69.38
