ProjectUnit = FSEGI1T08
Summary Report = Surface Fuels
Report Attribute = 10-hr
Units = Tons per Acre

Macroplot,Pre00Year01-Attr,Pre00-Attr,Pre00-Diff,Pre00-%Diff,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Re01Year05-Attr,Re01Year05-Diff,Re01Year05-%Diff,Re01Year10-Attr,Re01Year10-Diff,Re01Year10-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff
FSEGI1T0801,0.91,1.83,0.91,99.98,0.84,-0.08,-8.32,0.76,-0.15,-16.62,0.61,-0.30,-33.28,***,***,***,***,***,***,***,***,***
FSEGI1T0808,2.45,1.30,-1.15,-46.91,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.84,-1.60,-65.57
FSEGI1T0802,***,1.98,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0803,***,1.22,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0804,***,0.77,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0805,***,2.67,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0806,***,3.32,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0807,***,1.54,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0809,***,3.52,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.40,***,***
FSEGI1T0810,***,0.54,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.61,***,***
FSEGI1T0812,***,1.69,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0813,***,1.79,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0820,***,1.29,***,***,0.23,***,***,0.38,***,***,0.91,***,***,1.44,***,***,1.29,***,***,***,***,***
Mean,1.68,1.80,-0.12,-7.33,0.53,1.15,68.30,0.57,1.11,66.03,0.76,0.92,54.71,1.44,0.23,13.98,1.29,0.39,23.03,0.62,1.06,63.19
