ProjectUnit = FSESE1D08
Summary Report = Surface Fuels
Report Attribute = Total
Units = Tons per Acre

Macroplot,00PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YR01-Attr,01YR01-Diff,01YR01-%Diff,01YR02-Attr,01YR02-Diff,01YR02-%Diff,01YR05-Attr,01YR05-Diff,01YR05-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YR03-Attr,02YR03-Diff,02YR03-%Diff,02YR05-Attr,02YR05-Diff,02YR05-%Diff,00YR10-Attr,00YR10-Diff,00YR10-%Diff
B:FSESE1D08:11,74.75,36.23,-38.52,-51.53,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSESE1D0801,35.79,18.73,-17.05,-47.66,17.83,-17.95,-50.16,24.81,-10.98,-30.68,28.29,-7.50,-20.95,13.04,-22.75,-63.56,13.12,-22.67,-63.33,14.09,-21.70,-60.63,***,***,***
FSESE1D0802,31.41,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSESE1D0804,29.86,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,17.83,-12.03,-40.28
Mean,42.95,27.48,15.47,36.02,17.83,25.12,58.48,24.81,18.15,42.25,28.29,14.66,34.14,13.04,29.92,69.64,13.12,29.83,69.45,14.09,28.86,67.20,17.83,25.12,58.48
