ProjectUnit = FSESE1D08
Summary Report = Surface Fuels
Report Attribute = Duff
Units = Tons per Acre

Macroplot,00PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YR01-Attr,01YR01-Diff,01YR01-%Diff,01YR02-Attr,01YR02-Diff,01YR02-%Diff,01YR05-Attr,01YR05-Diff,01YR05-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YR03-Attr,02YR03-Diff,02YR03-%Diff,02YR05-Attr,02YR05-Diff,02YR05-%Diff,00YR10-Attr,00YR10-Diff,00YR10-%Diff
B:FSESE1D08:11,16.58,3.73,-12.85,-77.52,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSESE1D0801,15.75,8.09,-7.66,-48.65,1.80,-13.95,-88.59,10.78,-4.97,-31.54,14.55,-1.20,-7.61,5.86,-9.88,-62.76,1.87,-13.88,-88.11,1.70,-14.05,-89.22,***,***,***
FSESE1D0802,12.93,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSESE1D0804,14.27,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,6.36,-7.91,-55.42
Mean,14.88,5.91,8.98,60.31,1.80,13.08,87.93,10.78,4.10,27.55,14.55,0.33,2.23,5.86,9.02,60.59,1.87,13.01,87.42,1.70,13.18,88.60,6.36,8.52,57.24
