ProjectUnit = FSESE1D08
Summary Report = Surface Fuels
Report Attribute = Litter depth
Units = Inches

Macroplot,00PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YR01-Attr,01YR01-Diff,01YR01-%Diff,01YR02-Attr,01YR02-Diff,01YR02-%Diff,01YR05-Attr,01YR05-Diff,01YR05-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YR03-Attr,02YR03-Diff,02YR03-%Diff,02YR05-Attr,02YR05-Diff,02YR05-%Diff,00YR10-Attr,00YR10-Diff,00YR10-%Diff
B:FSESE1D08:11,1.34,0.30,-1.04,-77.74,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSESE1D0801,2.26,0.55,-1.71,-75.69,1.45,-0.82,-36.02,0.94,-1.32,-58.34,0.98,-1.29,-56.80,0.58,-1.68,-74.36,1.29,-0.98,-43.09,1.64,-0.62,-27.40,***,***,***
FSESE1D0802,1.16,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSESE1D0804,0.57,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.01,0.44,76.32
Mean,1.33,0.42,0.91,68.17,1.45,-0.12,-8.66,0.94,0.39,29.25,0.98,0.35,26.62,0.58,0.75,56.46,1.29,0.04,3.35,1.64,-0.31,-23.30,1.01,0.33,24.55
