ProjectUnit = FSESE1D08
Summary Report = Surface Fuels
Report Attribute = 10-hr
Units = Tons per Acre

Macroplot,00PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YR01-Attr,01YR01-Diff,01YR01-%Diff,01YR02-Attr,01YR02-Diff,01YR02-%Diff,01YR05-Attr,01YR05-Diff,01YR05-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YR03-Attr,02YR03-Diff,02YR03-%Diff,02YR05-Attr,02YR05-Diff,02YR05-%Diff,00YR10-Attr,00YR10-Diff,00YR10-%Diff
B:FSESE1D08:11,2.32,0.76,-1.55,-66.99,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSESE1D0801,0.99,0.84,-0.15,-15.40,1.07,0.07,7.44,1.07,0.08,7.59,0.76,-0.23,-23.29,0.84,-0.16,-15.70,1.38,0.38,38.62,1.00,0.00,0.42,***,***,***
FSESE1D0802,2.13,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSESE1D0804,2.29,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.76,-1.53,-66.72
Mean,1.93,0.80,1.13,58.50,1.07,0.87,44.85,1.07,0.87,44.77,0.76,1.17,60.62,0.84,1.10,56.73,1.38,0.56,28.85,1.00,0.94,48.45,0.76,1.17,60.59
