ProjectUnit = FSESE1D08
Summary Report = Surface Fuels
Report Attribute = Litter
Units = Tons per Acre

Macroplot,00PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YR01-Attr,01YR01-Diff,01YR01-%Diff,01YR02-Attr,01YR02-Diff,01YR02-%Diff,01YR05-Attr,01YR05-Diff,01YR05-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YR03-Attr,02YR03-Diff,02YR03-%Diff,02YR05-Attr,02YR05-Diff,02YR05-%Diff,00YR10-Attr,00YR10-Diff,00YR10-%Diff
B:FSESE1D08:11,6.68,1.49,-5.19,-77.74,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSESE1D0801,11.29,2.75,-8.55,-75.69,7.22,-4.07,-36.02,4.70,-6.59,-58.34,4.88,-6.41,-56.80,2.89,-8.40,-74.36,6.43,-4.87,-43.09,8.20,-3.09,-27.40,***,***,***
FSESE1D0802,5.78,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSESE1D0804,2.85,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,5.02,2.17,76.32
Mean,6.65,2.12,4.53,68.17,7.22,-0.58,-8.66,4.70,1.94,29.25,4.88,1.77,26.62,2.89,3.75,56.46,6.43,0.22,3.35,8.20,-1.55,-23.30,5.02,1.63,24.55
