ProjectUnit = FSESE1D08
Summary Report = Surface Fuels
Report Attribute = Duff depth
Units = Inches

Macroplot,00PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YR01-Attr,01YR01-Diff,01YR01-%Diff,01YR02-Attr,01YR02-Diff,01YR02-%Diff,01YR05-Attr,01YR05-Diff,01YR05-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YR03-Attr,02YR03-Diff,02YR03-%Diff,02YR05-Attr,02YR05-Diff,02YR05-%Diff,00YR10-Attr,00YR10-Diff,00YR10-%Diff
B:FSESE1D08:11,1.66,0.37,-1.29,-77.52,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSESE1D0801,1.58,0.81,-0.77,-48.65,0.18,-1.40,-88.59,1.08,-0.50,-31.54,1.46,-0.12,-7.61,0.59,-0.99,-62.76,0.19,-1.39,-88.11,0.17,-1.41,-89.22,***,***,***
FSESE1D0802,1.30,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSESE1D0804,1.43,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.64,-0.79,-55.42
Mean,1.49,0.59,0.90,60.31,0.18,1.31,87.93,1.08,0.41,27.55,1.46,0.03,2.23,0.59,0.90,60.59,0.19,1.30,87.42,0.17,1.32,88.60,0.64,0.85,57.24
