ProjectUnit = FSESE1D08
Summary Report = Surface Fuels
Report Attribute = 100-hr
Units = Tons per Acre

Macroplot,00PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YR01-Attr,01YR01-Diff,01YR01-%Diff,01YR02-Attr,01YR02-Diff,01YR02-%Diff,01YR05-Attr,01YR05-Diff,01YR05-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YR03-Attr,02YR03-Diff,02YR03-%Diff,02YR05-Attr,02YR05-Diff,02YR05-%Diff,00YR10-Attr,00YR10-Diff,00YR10-%Diff
B:FSESE1D08:11,2.28,1.40,-0.88,-38.68,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSESE1D0801,0.61,1.52,0.92,151.46,1.52,0.91,150.98,0.91,0.31,50.49,0.61,0.00,0.00,0.91,0.30,50.00,2.12,1.52,250.98,2.13,1.53,252.47,***,***,***
FSESE1D0802,3.94,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSESE1D0804,3.64,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,3.64,0.00,-0.06
Mean,2.62,1.46,1.16,44.22,1.52,1.10,42.01,0.91,1.71,65.23,0.61,2.01,76.89,0.91,1.71,65.34,2.12,0.49,18.90,2.13,0.49,18.55,3.64,-1.02,-39.09
