ProjectUnit = FSESE1D08
Summary Report = Surface Fuels
Report Attribute = 1000-hr Rotten
Units = Tons per Acre

Macroplot,00PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YR01-Attr,01YR01-Diff,01YR01-%Diff,01YR02-Attr,01YR02-Diff,01YR02-%Diff,01YR05-Attr,01YR05-Diff,01YR05-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YR03-Attr,02YR03-Diff,02YR03-%Diff,02YR05-Attr,02YR05-Diff,02YR05-%Diff,00YR10-Attr,00YR10-Diff,00YR10-%Diff
B:FSESE1D08:11,1.70,0.00,-1.70,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSESE1D0801,5.76,4.80,-0.96,-16.74,0.00,-5.76,-100.00,5.99,0.23,3.95,0.99,-4.77,-82.79,0.00,-5.76,-100.00,0.00,-5.76,-100.00,0.00,-5.76,-100.00,***,***,***
FSESE1D0802,0.47,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSESE1D0804,1.48,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.46,-0.03,-1.95
Mean,2.36,2.40,-0.04,-1.84,0.00,2.36,100.00,5.99,-3.63,-154.29,0.99,1.36,57.90,0.00,2.36,100.00,0.00,2.36,100.00,0.00,2.36,100.00,1.46,0.90,38.20
