ProjectUnit = FSESE1D08
Summary Report = Surface Fuels
Report Attribute = 1-hr
Units = Tons per Acre

Macroplot,00PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YR01-Attr,01YR01-Diff,01YR01-%Diff,01YR02-Attr,01YR02-Diff,01YR02-%Diff,01YR05-Attr,01YR05-Diff,01YR05-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YR03-Attr,02YR03-Diff,02YR03-%Diff,02YR05-Attr,02YR05-Diff,02YR05-%Diff,00YR10-Attr,00YR10-Diff,00YR10-%Diff
B:FSESE1D08:11,0.45,0.41,-0.05,-10.03,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSESE1D0801,0.33,0.09,-0.24,-72.31,0.23,-0.10,-31.35,0.11,-0.22,-66.29,0.17,-0.16,-49.45,0.06,-0.27,-83.16,0.20,-0.13,-39.72,0.17,-0.16,-48.06,***,***,***
FSESE1D0802,0.46,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSESE1D0804,0.83,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.59,-0.24,-28.44
Mean,0.52,0.25,0.27,51.81,0.23,0.29,56.16,0.11,0.41,78.48,0.17,0.35,67.72,0.06,0.46,89.25,0.20,0.32,61.51,0.17,0.35,66.83,0.59,-0.08,-14.69
