ProjectUnit = FARVI1D04
Summary Report = Surface Fuels
Report Attribute = 1000-hr Sound
Units = Tons per Acre

Macroplot,00PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YR01-Attr,01YR01-Diff,01YR01-%Diff,01YR06-Attr,01YR06-Diff,01YR06-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YR01-Attr,02YR01-Diff,02YR01-%Diff
FARVI1D0401,0.00,0.00,0.00,0.00,2.37,2.37,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FARVI1D0402,0.77,0.00,-0.77,-100.00,0.23,-0.54,-70.65,***,***,***,***,***,***,***,***,***
FARVI1D0403,1.24,0.00,-1.24,-100.00,0.00,-1.24,-100.00,***,***,***,***,***,***,***,***,***
FARVI1D0404,0.00,0.00,0.00,0.00,0.24,0.24,***,***,***,***,***,***,***,***,***,***
Mean,0.50,0.00,0.50,100.00,0.71,-0.21,-41.50,0.00,0.50,100.00,0.00,0.50,100.00,0.00,0.50,100.00
