ProjectUnit = FARVI1D04
Summary Report = Surface Fuels
Report Attribute = 10-hr
Units = Tons per Acre

Macroplot,00PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YR01-Attr,01YR01-Diff,01YR01-%Diff,01YR06-Attr,01YR06-Diff,01YR06-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YR01-Attr,02YR01-Diff,02YR01-%Diff
FARVI1D0401,0.00,0.16,0.16,***,0.57,0.57,***,0.33,0.33,***,0.00,0.00,0.00,0.24,0.24,***
FARVI1D0402,1.70,0.08,-1.63,-95.40,0.31,-1.39,-81.82,***,***,***,***,***,***,***,***,***
FARVI1D0403,0.48,0.08,-0.40,-83.72,0.34,-0.14,-29.75,***,***,***,***,***,***,***,***,***
FARVI1D0404,0.47,0.31,-0.15,-33.16,0.78,0.31,66.79,***,***,***,***,***,***,***,***,***
Mean,0.66,0.16,0.51,76.16,0.50,0.16,24.63,0.33,0.34,50.51,0.00,0.66,100.00,0.24,0.43,64.33
