ProjectUnit = FARVI1D04
Summary Report = Surface Fuels
Report Attribute = 1000-hr Rotten
Units = Tons per Acre

Macroplot,00PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YR01-Attr,01YR01-Diff,01YR01-%Diff,01YR06-Attr,01YR06-Diff,01YR06-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YR01-Attr,02YR01-Diff,02YR01-%Diff
FARVI1D0401,1.45,0.97,-0.48,-33.38,0.46,-0.99,-68.05,1.78,0.33,22.43,0.00,-1.45,-100.00,0.00,-1.45,-100.00
FARVI1D0402,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***
FARVI1D0403,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***
FARVI1D0404,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***
Mean,0.36,0.24,0.12,33.38,0.12,0.25,68.05,1.78,-1.41,-389.71,0.00,0.36,100.00,0.00,0.36,100.00
