ProjectUnit = FARVI1D04
Summary Report = Surface Fuels
Report Attribute = Total
Units = Tons per Acre

Macroplot,00PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YR01-Attr,01YR01-Diff,01YR01-%Diff,01YR06-Attr,01YR06-Diff,01YR06-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YR01-Attr,02YR01-Diff,02YR01-%Diff
FARVI1D0401,13.91,16.97,3.06,21.98,18.95,5.04,36.22,13.78,-0.13,-0.96,3.73,-10.18,-73.16,4.07,-9.84,-70.72
FARVI1D0402,23.49,1.64,-21.85,-93.02,3.53,-19.96,-84.98,***,***,***,***,***,***,***,***,***
FARVI1D0403,9.06,2.38,-6.69,-73.77,2.29,-6.78,-74.78,***,***,***,***,***,***,***,***,***
FARVI1D0404,18.38,3.67,-14.71,-80.02,5.05,-13.33,-72.53,***,***,***,***,***,***,***,***,***
Mean,16.21,6.16,10.05,61.97,7.45,8.76,54.02,13.78,2.43,15.00,3.73,12.48,76.96,4.07,12.14,74.87
