ProjectUnit = FARVI1D04
Summary Report = Surface Fuels
Report Attribute = Duff depth
Units = Inches

Macroplot,00PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YR01-Attr,01YR01-Diff,01YR01-%Diff,01YR06-Attr,01YR06-Diff,01YR06-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YR01-Attr,02YR01-Diff,02YR01-%Diff
FARVI1D0401,0.79,1.11,0.32,40.06,0.65,-0.14,-17.67,0.53,-0.27,-33.75,0.14,-0.66,-82.65,0.07,-0.73,-91.48
FARVI1D0402,1.57,0.00,-1.57,-100.00,0.09,-1.48,-94.28,***,***,***,***,***,***,***,***,***
FARVI1D0403,0.14,0.00,-0.14,-100.00,0.04,-0.10,-72.73,***,***,***,***,***,***,***,***,***
FARVI1D0404,0.99,0.00,-0.99,-100.00,0.01,-0.99,-99.24,***,***,***,***,***,***,***,***,***
Mean,0.87,0.28,0.60,68.24,0.20,0.68,77.47,0.53,0.35,39.91,0.14,0.74,84.26,0.07,0.81,92.27
