ProjectUnit = PSME2T08
Summary Report = Surface Fuels
Report Attribute = 100-hr
Units = Tons per Acre

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR2-Attr,02YEAR2-Diff,02YEAR2-%Diff,02YEAR3-Attr,02YEAR3-Diff,02YEAR3-%Diff,03YEAR1-Attr,03YEAR1-Diff,03YEAR1-%Diff,03YEAR3-Attr,03YEAR3-Diff,03YEAR3-%Diff,03YEAR7-Attr,03YEAR7-Diff,03YEAR7-%Diff
B_MPSME2T08_01,3.63,3.33,-0.30,-8.33,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_02,0.61,1.51,0.91,150.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_03,3.03,3.63,0.61,20.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_04,0.61,0.61,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_06,2.42,3.93,1.51,62.50,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_07,2.12,3.63,1.51,71.43,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_08,3.03,3.03,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_09,2.12,0.30,-1.82,-85.71,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_10,1.21,1.82,0.61,50.00,1.83,0.62,51.48,2.45,1.24,102.17,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_11,4.84,2.12,-2.72,-56.25,2.72,-2.12,-43.75,6.96,2.12,43.75,4.24,-0.60,-12.50,***,***,***,2.42,-2.42,-50.00,4.54,-0.30,-6.25,4.24,-0.60,-12.50
B_MPSME2T08_12,3.93,2.12,-1.82,-46.15,1.51,-2.42,-61.54,1.82,-2.12,-53.85,0.91,-3.03,-76.92,***,***,***,1.21,-2.72,-69.23,2.12,-1.82,-46.15,1.21,-2.72,-69.23
B_MPSME2T08_13,3.93,3.93,0.00,0.00,2.12,-1.82,-46.15,3.03,-0.91,-23.08,3.03,-0.91,-23.08,***,***,***,1.51,-2.42,-61.54,2.42,-1.51,-38.46,2.42,-1.51,-38.46
B_MPSME2T08_14,1.51,0.61,-0.91,-60.00,1.21,-0.30,-20.00,0.61,-0.91,-60.00,0.61,-0.91,-60.00,***,***,***,1.21,-0.30,-20.00,0.00,-1.51,-100.00,0.61,-0.91,-60.00
B_MPSME2T08_15,2.12,2.42,0.30,14.29,1.51,-0.61,-28.57,0.61,-1.51,-71.43,3.03,0.91,42.86,***,***,***,0.30,-1.82,-85.71,0.61,-1.51,-71.43,3.63,1.51,71.43
B_MPSME2T08_16,1.51,1.82,0.30,20.00,0.00,-1.51,-100.00,0.91,-0.61,-40.00,0.00,-1.51,-100.00,***,***,***,0.30,-1.21,-80.00,0.30,-1.21,-80.00,1.21,-0.30,-20.00
B_MPSME2T08_17,4.84,2.12,-2.72,-56.25,2.12,-2.72,-56.25,1.82,-3.03,-62.50,1.51,-3.33,-68.75,***,***,***,1.51,-3.33,-68.74,1.21,-3.63,-75.00,0.00,-4.84,-100.00
B_MPSME2T08_18,1.51,0.91,-0.61,-40.00,3.93,2.42,160.00,2.42,0.91,60.00,3.03,1.51,100.00,***,***,***,0.00,-1.51,-100.00,0.61,-0.91,-60.00,0.91,-0.61,-40.00
B_MPSME2T08_19,1.82,0.91,-0.91,-50.00,0.00,-1.82,-100.00,0.61,-1.21,-66.67,0.61,-1.21,-66.67,***,***,***,0.91,-0.91,-50.00,1.21,-0.61,-33.33,0.61,-1.21,-66.67
B_MPSME2T08_20,1.21,1.82,0.61,50.00,7.56,6.35,525.00,7.87,6.66,550.00,5.45,4.24,350.00,***,***,***,2.12,0.91,75.00,3.93,2.72,225.00,3.33,2.12,175.00
B_MPSME2T08_22,1.82,0.00,-1.82,-100.00,***,***,***,0.91,-0.91,-49.99,***,***,***,0.00,-1.82,-100.00,***,***,***,***,***,***,2.72,0.91,50.02
B_MPSME2T08_23,4.24,2.12,-2.12,-50.00,***,***,***,0.30,-3.93,-92.86,***,***,***,0.61,-3.63,-85.71,***,***,***,***,***,***,0.91,-3.33,-78.57
B_MPSME2T08_24,3.93,2.12,-1.82,-46.15,***,***,***,3.03,-0.91,-23.08,***,***,***,0.91,-3.03,-76.92,***,***,***,***,***,***,0.30,-3.63,-92.31
B_MPSME2T08_25,1.82,0.30,-1.51,-83.33,***,***,***,0.00,-1.82,-100.00,***,***,***,0.30,-1.51,-83.32,***,***,***,***,***,***,1.21,-0.60,-33.28
B_MPSME2T08_26,0.61,1.51,0.91,150.34,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_27,2.42,2.72,0.30,12.50,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_28,2.43,2.12,-0.30,-12.51,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_29,3.34,1.52,-1.82,-54.57,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_30,4.54,3.03,-1.51,-33.32,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_31,0.91,0.61,-0.30,-33.33,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_32,1.82,0.91,-0.91,-50.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,2.46,1.92,0.54,22.13,2.23,0.23,9.42,2.22,0.24,9.79,2.24,0.22,9.04,0.45,2.01,81.56,1.15,1.31,53.29,1.69,0.77,31.16,1.66,0.80,32.39
