ProjectUnit = PSME2T08
Summary Report = Surface Fuels
Report Attribute = 1-hr
Units = Tons per Acre

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR2-Attr,02YEAR2-Diff,02YEAR2-%Diff,02YEAR3-Attr,02YEAR3-Diff,02YEAR3-%Diff,03YEAR1-Attr,03YEAR1-Diff,03YEAR1-%Diff,03YEAR3-Attr,03YEAR3-Diff,03YEAR3-%Diff,03YEAR7-Attr,03YEAR7-Diff,03YEAR7-%Diff
B_MPSME2T08_01,0.21,0.47,0.26,126.92,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_02,0.01,0.04,0.03,350.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_03,0.45,0.65,0.20,43.86,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_04,0.14,0.65,0.51,368.57,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_06,0.03,0.27,0.23,737.50,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_07,0.15,0.50,0.34,220.51,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_08,0.13,0.32,0.19,153.13,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_09,0.20,0.35,0.14,70.59,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_10,0.07,0.18,0.11,164.71,0.20,0.13,192.53,0.10,0.03,48.27,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_11,0.19,0.27,0.08,38.78,0.25,0.06,28.57,0.36,0.16,83.67,0.29,0.10,51.02,***,***,***,0.12,-0.08,-38.78,0.14,-0.05,-26.53,0.08,-0.12,-59.18
B_MPSME2T08_12,0.30,0.53,0.23,78.67,0.34,0.04,14.67,0.32,0.02,8.00,0.14,-0.16,-53.33,***,***,***,0.27,-0.02,-8.00,0.21,-0.09,-29.33,0.32,0.02,8.00
B_MPSME2T08_13,0.04,0.17,0.13,330.00,0.05,0.01,30.00,0.10,0.06,160.00,0.09,0.05,120.00,***,***,***,0.33,0.29,730.00,0.24,0.20,510.00,0.05,0.01,30.00
B_MPSME2T08_14,0.16,0.22,0.06,40.00,0.17,0.01,5.00,0.22,0.06,37.50,0.28,0.12,75.00,***,***,***,0.14,-0.02,-10.00,0.10,-0.06,-35.00,0.17,0.01,7.50
B_MPSME2T08_15,0.12,0.21,0.09,76.67,0.10,-0.02,-20.00,0.14,0.02,16.67,0.12,0.00,3.33,***,***,***,0.10,-0.02,-20.00,0.04,-0.08,-66.67,0.68,0.56,473.33
B_MPSME2T08_16,0.31,0.33,0.02,6.41,0.13,-0.18,-58.97,0.36,0.05,16.67,0.29,-0.02,-7.69,***,***,***,0.25,-0.06,-20.51,0.20,-0.11,-35.90,0.39,0.08,26.92
B_MPSME2T08_17,0.07,0.46,0.39,544.44,0.14,0.07,100.00,0.12,0.05,66.67,0.04,-0.04,-50.00,***,***,***,0.05,-0.02,-33.32,0.02,-0.05,-66.66,0.10,0.02,33.39
B_MPSME2T08_18,0.33,0.73,0.41,125.61,0.51,0.18,56.10,0.51,0.18,56.10,0.40,0.08,23.17,***,***,***,0.06,-0.26,-80.49,0.06,-0.26,-80.49,0.12,-0.21,-64.63
B_MPSME2T08_19,0.12,0.58,0.47,406.90,0.14,0.02,20.69,0.32,0.21,179.31,0.51,0.39,341.38,***,***,***,0.14,0.03,24.14,0.33,0.21,186.21,0.29,0.17,148.28
B_MPSME2T08_20,0.17,0.23,0.05,29.55,0.11,-0.06,-36.36,0.14,-0.04,-22.73,0.36,0.19,106.82,***,***,***,0.10,-0.08,-43.18,0.10,-0.08,-45.45,0.12,-0.06,-34.09
B_MPSME2T08_22,0.12,0.10,-0.02,-13.33,***,***,***,0.13,0.01,10.05,***,***,***,0.01,-0.11,-90.00,***,***,***,***,***,***,0.07,-0.05,-39.98
B_MPSME2T08_23,0.21,0.12,-0.08,-40.38,***,***,***,0.08,-0.13,-61.54,***,***,***,0.06,-0.15,-73.08,***,***,***,***,***,***,0.08,-0.12,-59.61
B_MPSME2T08_24,0.19,0.14,-0.06,-29.17,***,***,***,0.08,-0.11,-56.25,***,***,***,0.12,-0.07,-35.42,***,***,***,***,***,***,0.09,-0.10,-54.17
B_MPSME2T08_25,0.15,0.06,-0.09,-58.97,***,***,***,0.14,-0.02,-12.79,***,***,***,0.02,-0.13,-84.62,***,***,***,***,***,***,0.21,0.05,33.34
B_MPSME2T08_26,0.20,0.15,-0.05,-25.98,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_27,0.31,0.35,0.04,14.30,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_28,0.08,0.39,0.31,390.12,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_29,0.35,0.42,0.08,21.87,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_30,0.44,0.51,0.07,15.21,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_31,0.19,0.24,0.05,27.66,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_32,0.27,0.25,-0.01,-4.49,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,0.19,0.33,-0.14,-73.70,0.19,0.00,-2.05,0.21,-0.02,-9.34,0.25,-0.06,-32.39,0.05,0.14,71.76,0.16,0.03,17.80,0.14,0.04,23.66,0.20,-0.01,-3.83
