ProjectUnit = PSME2T08
Summary Report = Surface Fuels
Report Attribute = Total
Units = Tons per Acre

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR2-Attr,02YEAR2-Diff,02YEAR2-%Diff,02YEAR3-Attr,02YEAR3-Diff,02YEAR3-%Diff,03YEAR1-Attr,03YEAR1-Diff,03YEAR1-%Diff,03YEAR3-Attr,03YEAR3-Diff,03YEAR3-%Diff,03YEAR7-Attr,03YEAR7-Diff,03YEAR7-%Diff
B_MPSME2T08_01,20.39,19.31,-1.08,-5.28,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_02,8.25,15.08,6.83,82.74,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_03,25.39,29.40,4.01,15.78,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_04,24.43,29.79,5.36,21.95,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_06,27.17,41.40,14.23,52.39,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_07,11.52,29.82,18.30,158.79,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_08,23.87,34.48,10.61,44.47,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_09,20.59,33.17,12.58,61.09,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_10,34.77,34.98,0.20,0.58,24.30,-10.48,-30.14,29.29,-5.48,-15.77,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_11,22.27,21.76,-0.51,-2.28,15.90,-6.37,-28.59,21.32,-0.95,-4.28,22.28,0.01,0.03,***,***,***,15.85,-6.42,-28.85,30.91,8.64,38.77,21.51,-0.76,-3.43
B_MPSME2T08_12,53.50,61.09,7.59,14.20,17.08,-36.42,-68.07,13.02,-40.48,-75.67,18.28,-35.22,-65.84,***,***,***,9.01,-44.49,-83.16,17.04,-36.46,-68.15,15.72,-37.78,-70.62
B_MPSME2T08_13,48.22,42.20,-6.02,-12.49,19.63,-28.59,-59.29,18.23,-30.00,-62.20,24.16,-24.06,-49.90,***,***,***,17.24,-30.98,-64.24,28.74,-19.49,-40.41,16.72,-31.51,-65.33
B_MPSME2T08_14,27.87,26.69,-1.18,-4.24,12.00,-15.87,-56.95,8.41,-19.45,-69.81,11.04,-16.82,-60.37,***,***,***,19.01,-8.85,-31.77,19.16,-8.71,-31.24,11.58,-16.29,-58.44
B_MPSME2T08_15,20.06,49.93,29.87,148.94,22.19,2.13,10.62,25.93,5.88,29.31,26.63,6.57,32.77,***,***,***,7.73,-12.33,-61.47,13.45,-6.61,-32.95,21.01,0.95,4.73
B_MPSME2T08_16,17.53,52.16,34.63,197.49,12.51,-5.02,-28.63,19.27,1.74,9.93,19.35,1.82,10.37,***,***,***,17.46,-0.08,-0.43,21.27,3.74,21.32,13.46,-4.07,-23.23
B_MPSME2T08_17,67.09,62.24,-4.84,-7.22,22.95,-44.14,-65.80,19.83,-47.25,-70.43,32.13,-34.96,-52.11,***,***,***,14.20,-52.89,-78.84,21.45,-45.63,-68.02,14.23,-52.85,-78.78
B_MPSME2T08_18,41.49,54.83,13.34,32.15,39.99,-1.50,-3.62,30.53,-10.95,-26.40,51.14,9.66,23.28,***,***,***,17.16,-24.33,-58.64,43.18,1.69,4.07,24.14,-17.35,-41.81
B_MPSME2T08_19,17.75,41.60,23.84,134.29,14.08,-3.68,-20.70,16.31,-1.45,-8.15,14.61,-3.14,-17.70,***,***,***,14.80,-2.96,-16.65,22.28,4.53,25.50,75.66,57.91,326.15
B_MPSME2T08_20,32.74,39.31,6.56,20.04,40.50,7.76,23.68,33.57,0.82,2.51,39.76,7.02,21.43,***,***,***,20.29,-12.45,-38.03,27.19,-5.55,-16.96,29.02,-3.73,-11.38
B_MPSME2T08_22,44.21,31.91,-12.30,-27.82,***,***,***,10.24,-33.96,-76.83,***,***,***,13.52,-30.68,-69.41,***,***,***,***,***,***,47.06,2.85,6.45
B_MPSME2T08_23,29.73,28.84,-0.89,-3.00,***,***,***,8.45,-21.27,-71.56,***,***,***,27.95,-1.78,-5.99,***,***,***,***,***,***,19.57,-10.16,-34.17
B_MPSME2T08_24,40.54,37.73,-2.81,-6.94,***,***,***,9.21,-31.33,-77.29,***,***,***,14.64,-25.90,-63.88,***,***,***,***,***,***,6.97,-33.57,-82.81
B_MPSME2T08_25,53.46,57.69,4.23,7.91,***,***,***,2.51,-50.95,-95.30,***,***,***,7.02,-46.44,-86.88,***,***,***,***,***,***,16.64,-36.82,-68.88
B_MPSME2T08_26,19.81,25.62,5.81,29.32,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_27,22.31,16.94,-5.37,-24.07,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_28,42.21,35.24,-6.97,-16.52,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_29,31.32,32.18,0.85,2.73,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_30,43.93,21.50,-22.43,-51.06,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_31,13.73,13.15,-0.58,-4.20,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_32,23.54,16.76,-6.78,-28.81,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,30.32,34.56,-4.24,-13.97,21.92,8.40,27.71,17.74,12.58,41.49,25.94,4.38,14.46,15.78,14.54,47.95,15.27,15.05,49.63,24.47,5.86,19.31,23.81,6.52,21.49
