ProjectUnit = FABCO1D08
Summary Report = Surface Fuels
Report Attribute = 1000-hr Sound
Units = Tons per Acre

Macroplot,00Pro1-Attr,00Pre-Attr,00Pre-Diff,00Pre-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr02-Attr,01Yr02-Diff,01Yr02-%Diff,01Yr10-Attr,01Yr10-Diff,01Yr10-%Diff
B:FABCO1D08:01,25.60,15.33,-10.27,-40.11,***,***,***,***,***,***,***,***,***,13.84,-11.76,-45.92
B:FABCO1D08:02,5.46,11.60,6.14,112.45,***,***,***,***,***,***,***,***,***,18.06,12.61,230.89
B:FABCO1D08:03,8.99,1.72,-7.27,-80.84,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:04,2.40,3.66,1.25,52.12,***,***,***,***,***,***,***,***,***,4.42,2.02,84.01
B:FABCO1D08:12,4.41,1.39,-3.03,-68.56,***,***,***,***,***,***,***,***,***,6.65,2.24,50.67
B:FABCO1D08:05,***,18.12,***,***,3.88,***,***,3.88,***,***,3.30,***,***,12.47,***,***
B:FABCO1D08:06,***,3.04,***,***,1.68,***,***,1.68,***,***,1.68,***,***,8.25,***,***
B:FABCO1D08:07,***,129.89,***,***,***,***,***,4.61,***,***,33.50,***,***,***,***,***
B:FABCO1D08:08,***,0.29,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:09,***,55.96,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:11,***,4.75,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:13,***,0.71,***,***,***,***,***,0.45,***,***,0.47,***,***,***,***,***
B:FABCO1D08:14,***,8.39,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:15,***,0.81,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:16,***,2.37,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:17,***,33.61,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:20,***,0.29,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:21,***,6.34,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:22,***,1.89,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:23,***,4.90,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:24,***,0.43,***,***,***,***,***,***,***,***,***,***,***,***,***,***
C:FABCO1D08:10,***,23.12,***,***,***,***,***,***,***,***,***,***,***,***,***,***
C:FABCO1D08:18,***,2.33,***,***,***,***,***,***,***,***,***,***,***,***,***,***
C:FABCO1D08:19,***,1.19,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,9.37,13.84,-4.46,-47.63,2.78,6.59,70.34,2.66,6.72,71.67,9.74,-0.36,-3.89,10.62,-1.24,-13.28
