ProjectUnit = PIPO2T09
Summary Report = Surface Fuels
Report Attribute = 10-hr
Units = Tons per Acre

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,01YEAR5-Attr,01YEAR5-Diff,01YEAR5-%Diff,01YEAR10-Attr,01YEAR10-Diff,01YEAR10-%Diff,02PRE-Attr,02PRE-Diff,02PRE-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR2-Attr,02YEAR2-Diff,02YEAR2-%Diff,02YEAR5-Attr,02YEAR5-Diff,02YEAR5-%Diff,02YEAR10-Attr,02YEAR10-Diff,02YEAR10-%Diff,Pre1996-Attr,Pre1996-Diff,Pre1996-%Diff,Pre1997-Attr,Pre1997-Diff,Pre1997-%Diff,Pre1998-Attr,Pre1998-Diff,Pre1998-%Diff,Pre1999-Attr,Pre1999-Diff,Pre1999-%Diff,FUEL2009-Attr,FUEL2009-Diff,FUEL2009-%Diff
B_FPIPO2T09_01,0.84,0.99,0.15,18.18,1.14,0.30,36.36,0.99,0.15,18.18,0.46,-0.38,-45.45,0.84,0.00,0.00,1.75,0.91,109.09,***,***,***,***,***,***,***,***,***,1.44,0.61,72.73,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.46,-0.38,-45.45
B_FPIPO2T09_02,0.84,0.76,-0.08,-9.07,0.84,0.00,0.00,0.69,-0.15,-18.18,0.30,-0.53,-63.63,0.91,0.08,9.11,1.44,0.61,72.48,***,***,***,***,***,***,***,***,***,1.67,0.84,99.70,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.06,0.23,27.08
B_FPIPO2T09_03,0.84,0.99,0.15,18.18,1.22,0.38,45.47,1.60,0.76,90.89,1.67,0.84,100.01,***,***,***,***,***,***,0.53,-0.30,-36.36,0.68,-0.15,-18.18,1.14,0.30,36.39,1.06,0.23,27.29,3.50,2.67,318.71,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPIPO2T09_04,0.84,0.15,-0.68,-81.82,0.61,-0.23,-27.27,0.84,0.00,0.00,0.00,-0.84,-100.00,0.23,-0.61,-72.73,0.38,-0.46,-54.49,***,***,***,***,***,***,***,***,***,2.66,1.82,218.18,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.30,-0.53,-63.64
B_FPIPO2T09_05,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.98,***,***,***,***,***,***,***,***,***,***,***,0.99,***,***,***,***,***,1.67,***,***,***,***,***,1.07,***,***,***,***,***,1.68,***,***
B_FPIPO2T09_06,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.76,***,***,***,***,***,***,***,***,***,***,***,1.60,***,***,***,***,***,***,***,***,1.07,***,***,***,***,***,1.29,***,***,1.29,***,***
B_FPIPO2T09_07,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.77,***,***,***,***,***,***,***,***,***,***,***,1.38,***,***,***,***,***,***,***,***,1.07,***,***,***,***,***,0.61,***,***,1.07,***,***
B_FPIPO2T09_08,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,3.82,***,***,***,***,***,***,***,***,***,***,***,3.20,***,***,***,***,***,***,***,***,1.37,***,***,***,***,***,1.52,***,***,2.52,***,***
B_FPIPO2T09_09,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,3.13,***,***,***,***,***,***,***,***,***,***,***,3.13,***,***,***,***,***,***,***,***,1.45,***,***,***,***,***,1.22,***,***,3.13,***,***
Mean,0.84,0.72,0.11,13.63,0.95,-0.11,-13.64,1.03,-0.19,-22.71,0.61,0.23,27.27,0.66,0.18,21.19,1.75,-0.92,-109.53,0.53,0.30,36.37,0.68,0.15,18.19,1.14,-0.30,-36.37,1.90,-1.07,-127.60,3.50,-2.67,-318.65,1.67,-0.84,-100.12,1.24,-0.40,-48.26,1.07,-0.23,-27.35,1.16,-0.33,-38.94,1.44,-0.60,-72.05
