ProjectUnit = PIPO2T09
Summary Report = Surface Fuels
Report Attribute = 1-hr
Units = Tons per Acre

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,01YEAR5-Attr,01YEAR5-Diff,01YEAR5-%Diff,01YEAR10-Attr,01YEAR10-Diff,01YEAR10-%Diff,02PRE-Attr,02PRE-Diff,02PRE-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR2-Attr,02YEAR2-Diff,02YEAR2-%Diff,02YEAR5-Attr,02YEAR5-Diff,02YEAR5-%Diff,02YEAR10-Attr,02YEAR10-Diff,02YEAR10-%Diff,Pre1996-Attr,Pre1996-Diff,Pre1996-%Diff,Pre1997-Attr,Pre1997-Diff,Pre1997-%Diff,Pre1998-Attr,Pre1998-Diff,Pre1998-%Diff,Pre1999-Attr,Pre1999-Diff,Pre1999-%Diff,FUEL2009-Attr,FUEL2009-Diff,FUEL2009-%Diff
B_FPIPO2T09_01,0.01,0.02,0.01,66.67,0.05,0.04,333.33,0.05,0.04,333.33,0.02,0.00,33.33,0.00,-0.01,-100.00,0.02,0.01,66.67,***,***,***,***,***,***,***,***,***,0.02,0.01,100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.04,0.02,200.00
B_FPIPO2T09_02,0.02,0.02,0.00,-0.05,0.04,0.02,149.89,0.04,0.02,124.96,0.06,0.04,249.87,0.03,0.01,74.92,0.02,0.00,24.73,***,***,***,***,***,***,***,***,***,0.06,0.04,274.16,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.06,0.04,249.22
B_FPIPO2T09_03,0.07,0.02,-0.05,-72.23,0.09,0.02,27.74,0.08,0.01,16.66,0.06,-0.02,-22.19,***,***,***,***,***,***,0.07,0.00,0.03,0.02,-0.05,-66.65,0.06,-0.01,-16.66,0.06,-0.01,-11.12,0.03,-0.04,-55.55,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPIPO2T09_04,0.06,0.02,-0.04,-66.67,0.07,0.01,20.00,0.03,-0.03,-46.67,0.00,-0.06,-93.33,0.01,-0.05,-86.67,0.01,-0.05,-79.98,***,***,***,***,***,***,***,***,***,0.06,0.00,6.67,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.02,-0.04,-60.00
B_FPIPO2T09_05,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.07,***,***,***,***,***,***,***,***,***,***,***,0.01,***,***,***,***,***,0.04,***,***,***,***,***,0.10,***,***,***,***,***,0.14,***,***
B_FPIPO2T09_06,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.03,***,***,***,***,***,***,***,***,***,***,***,0.03,***,***,***,***,***,***,***,***,0.05,***,***,***,***,***,0.02,***,***,0.08,***,***
B_FPIPO2T09_07,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.02,***,***,***,***,***,***,***,***,***,***,***,0.04,***,***,***,***,***,***,***,***,0.04,***,***,***,***,***,0.02,***,***,0.03,***,***
B_FPIPO2T09_08,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.27,***,***,***,***,***,***,***,***,***,***,***,0.07,***,***,***,***,***,***,***,***,0.11,***,***,***,***,***,0.08,***,***,0.28,***,***
B_FPIPO2T09_09,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.02,***,***,***,***,***,***,***,***,***,***,***,0.02,***,***,***,***,***,***,***,***,0.03,***,***,***,***,***,0.01,***,***,0.03,***,***
Mean,0.04,0.02,0.02,52.50,0.06,-0.02,-59.99,0.05,-0.01,-27.51,0.03,0.01,17.44,0.01,0.03,69.97,0.06,-0.02,-45.82,0.07,-0.03,-80.06,0.02,0.02,39.97,0.06,-0.02,-50.02,0.04,0.00,-6.80,0.03,0.01,19.99,0.04,0.00,-0.15,0.06,-0.02,-45.81,0.10,-0.06,-140.19,0.03,0.01,21.88,0.09,-0.05,-114.81
