ProjectUnit = FTSME1BY08
Summary Report = Surface Fuels
Report Attribute = 100-hr
Units = Tons per Acre

Macroplot,00Pre-Attr,00Yr05-Attr,00Yr05-Diff,00Yr05-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr05-Attr,01Yr05-Diff,01Yr05-%Diff
B:FTSME1BY08:01,0.00,***,***,***,1.21,1.21,***,1.21,1.21,***
B:FTSME1BY08:02,6.05,***,***,***,0.00,-6.05,-100.00,1.21,-4.84,-80.00
B:FTSME1BY08:03,4.84,***,***,***,0.00,-4.84,-100.00,3.63,-1.21,-24.94
B:FTSME1BY08:04,0.00,***,***,***,0.00,0.00,0.00,2.42,2.42,***
C:FTSME1BY08:15,***,3.64,***,***,***,***,***,***,***,***
C:FTSME1BY08:16,***,2.43,***,***,***,***,***,***,***,***
C:FTSME1BY08:17,***,0.00,***,***,***,***,***,***,***,***
C:FTSME1BY08:18,***,1.22,***,***,***,***,***,***,***,***
B:FTSME1BY08:05,***,***,***,***,1.21,***,***,1.21,***,***
B:FTSME1BY08:06,***,***,***,***,0.00,***,***,0.00,***,***
B:FTSME1BY08:07,***,***,***,***,1.21,***,***,2.42,***,***
B:FTSME1BY08:08,***,***,***,***,1.21,***,***,0.00,***,***
B:FTSME1BY08:09,***,***,***,***,0.00,***,***,0.00,***,***
B:FTSME1BY08:10,***,***,***,***,0.00,***,***,1.22,***,***
B:FTSME1BY08:11,***,***,***,***,0.00,***,***,2.43,***,***
B:FTSME1BY08:12,***,***,***,***,3.63,***,***,3.73,***,***
B:FTSME1BY08:13,***,***,***,***,1.21,***,***,0.00,***,***
B:FTSME1BY08:14,***,***,***,***,1.21,***,***,0.00,***,***
Mean,2.72,1.83,0.90,32.97,0.78,1.94,71.43,1.39,1.33,48.87
