ProjectUnit = FTSME1BY08
Summary Report = Surface Fuels
Report Attribute = 1-hr
Units = Tons per Acre

Macroplot,00Pre-Attr,00Yr05-Attr,00Yr05-Diff,00Yr05-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr05-Attr,01Yr05-Diff,01Yr05-%Diff
B:FTSME1BY08:01,0.51,***,***,***,0.11,-0.40,-78.13,0.27,-0.24,-46.88
B:FTSME1BY08:02,2.38,***,***,***,0.41,-1.97,-82.67,0.70,-1.68,-70.67
B:FTSME1BY08:03,0.83,***,***,***,0.75,-0.08,-9.62,1.00,0.18,21.25
B:FTSME1BY08:04,0.10,***,***,***,0.05,-0.05,-50.00,0.00,-0.10,-100.00
C:FTSME1BY08:15,***,0.29,***,***,***,***,***,***,***,***
C:FTSME1BY08:16,***,0.00,***,***,***,***,***,***,***,***
C:FTSME1BY08:17,***,0.00,***,***,***,***,***,***,***,***
C:FTSME1BY08:18,***,0.16,***,***,***,***,***,***,***,***
B:FTSME1BY08:05,***,***,***,***,0.17,***,***,0.00,***,***
B:FTSME1BY08:06,***,***,***,***,0.02,***,***,0.00,***,***
B:FTSME1BY08:07,***,***,***,***,0.14,***,***,0.46,***,***
B:FTSME1BY08:08,***,***,***,***,0.14,***,***,0.43,***,***
B:FTSME1BY08:09,***,***,***,***,0.02,***,***,0.11,***,***
B:FTSME1BY08:10,***,***,***,***,0.16,***,***,0.21,***,***
B:FTSME1BY08:11,***,***,***,***,0.37,***,***,1.28,***,***
B:FTSME1BY08:12,***,***,***,***,1.06,***,***,0.28,***,***
B:FTSME1BY08:13,***,***,***,***,0.03,***,***,0.24,***,***
B:FTSME1BY08:14,***,***,***,***,0.02,***,***,0.13,***,***
Mean,0.95,0.11,0.84,88.27,0.25,0.71,74.16,0.36,0.59,61.72
