ProjectUnit = PILA FUELS
Summary Report = Surface Fuels
Report Attribute = 100-hr
Units = Tons per Acre

Macroplot,Pre00-Attr,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff
B01,9.79,0.00,-9.79,-100.00,0.00,-9.79,-100.00,0.00,-9.79,-100.00
B02,3.76,1.25,-2.51,-66.67,0.00,-3.76,-100.00,1.25,-2.51,-66.67
B03,1.21,4.85,3.64,300.00,3.64,2.43,200.00,2.43,1.21,100.00
B04,4.85,3.63,-1.21,-25.00,1.21,-3.63,-75.00,1.21,-3.63,-75.00
B05,8.53,4.88,-3.66,-42.86,4.88,-3.66,-42.86,4.88,-3.66,-42.86
B06,4.85,0.00,-4.85,-100.00,1.21,-3.64,-75.00,1.21,-3.64,-75.00
B07,2.42,1.21,-1.21,-50.00,0.00,-2.42,-100.00,0.00,-2.42,-100.00
B08,6.09,2.44,-3.66,-60.00,2.44,-3.66,-60.00,1.22,-4.88,-80.00
B09,7.30,8.51,1.22,16.67,14.59,7.30,100.00,8.51,1.22,16.67
B10,3.63,1.21,-2.42,-66.67,0.00,-3.63,-100.00,2.42,-1.21,-33.33
B11,2.42,2.42,0.00,0.00,3.63,1.21,50.00,3.63,1.21,50.00
B12,1.24,0.00,-1.24,-100.00,0.00,-1.24,-100.00,2.48,1.24,100.00
B13,6.08,2.43,-3.65,-60.00,2.43,-3.65,-60.00,3.65,-2.43,-40.00
B14,2.43,4.86,2.43,100.00,3.65,1.22,50.00,1.22,-1.22,-50.00
B15,2.59,0.00,-2.59,-100.00,0.00,-2.59,-100.00,0.00,-2.59,-100.00
B16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B17,1.25,0.00,-1.25,-100.00,0.00,-1.25,-100.00,0.00,-1.25,-100.00
B18,4.97,0.00,-4.97,-100.00,0.00,-4.97,-100.00,0.00,-4.97,-100.00
B19,5.13,0.00,-5.13,-100.00,7.69,2.56,50.00,***,***,***
B20,2.51,1.25,-1.25,-50.00,0.00,-2.51,-100.00,2.51,0.00,0.00
B21,4.89,0.00,-4.89,-100.00,0.00,-4.89,-100.00,0.00,-4.89,-100.00
B22,2.71,0.00,-2.71,-100.00,0.00,-2.71,-100.00,0.00,-2.71,-100.00
B23,5.05,0.00,-5.05,-100.00,0.00,-5.05,-100.00,0.00,-5.05,-100.00
B24,9.87,0.00,-9.87,-100.00,1.23,-8.64,-87.50,0.00,-9.87,-100.00
B25,3.70,1.23,-2.47,-66.67,1.23,-2.47,-66.67,1.23,-2.47,-66.67
B26,1.22,0.00,-1.22,-100.00,0.00,-1.22,-100.00,0.00,-1.22,-100.00
B27,1.23,0.00,-1.23,-100.00,0.00,-1.23,-100.00,0.00,-1.23,-100.00
B28,0.00,2.47,2.47,***,0.00,0.00,0.00,0.00,0.00,0.00
C01,6.12,***,***,***,2.45,-3.67,-60.00,2.53,-3.59,-58.70
C02,9.68,***,***,***,2.42,-7.26,-75.00,1.21,-8.47,-87.50
C03,7.43,***,***,***,0.00,-7.43,-100.00,1.24,-6.20,-83.33
C04,6.05,***,***,***,4.84,-1.21,-20.00,2.42,-3.63,-60.00
C05,0.00,***,***,***,0.00,0.00,0.00,2.45,2.45,***
C06,4.85,***,***,***,3.64,-1.21,-25.00,0.00,-4.85,-100.00
C07,3.63,***,***,***,2.42,-1.21,-33.33,1.21,-2.42,-66.67
C08,4.84,***,***,***,3.63,-1.21,-25.00,8.47,3.63,75.00
C09,6.09,***,***,***,7.31,1.22,20.00,6.09,0.00,0.00
C10,4.89,***,***,***,2.45,-2.45,-50.00,2.42,-2.47,-50.55
C11,1.21,***,***,***,0.00,-1.21,-100.00,1.21,0.00,0.00
C12,2.43,***,***,***,2.43,0.00,0.00,3.64,1.21,50.00
Mean,4.17,1.52,2.65,63.50,1.99,2.19,52.43,1.81,2.36,56.54
