ProjectUnit = PILA FUELS
Summary Report = Surface Fuels
Report Attribute = 10-hr
Units = Tons per Acre

Macroplot,Pre00-Attr,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff
B01,1.85,0.00,-1.85,-100.00,0.00,-1.85,-100.00,0.00,-1.85,-100.00
B02,3.78,0.31,-3.46,-91.67,0.63,-3.15,-83.33,2.52,-1.26,-33.33
B03,2.13,0.61,-1.52,-71.43,3.05,0.91,42.86,3.05,0.91,42.86
B04,0.91,0.00,-0.91,-100.00,0.00,-0.91,-100.00,0.00,-0.91,-100.00
B05,9.80,1.23,-8.58,-87.50,0.61,-9.19,-93.75,0.92,-8.88,-90.63
B06,2.44,0.00,-2.44,-100.00,0.61,-1.83,-75.00,0.30,-2.13,-87.50
B07,1.22,0.61,-0.61,-50.00,0.30,-0.91,-75.00,0.61,-0.61,-50.00
B08,6.43,0.31,-6.13,-95.24,0.31,-6.13,-95.24,1.23,-5.21,-80.95
B09,3.06,1.53,-1.53,-50.00,0.61,-2.44,-80.00,1.53,-1.53,-50.00
B10,3.96,2.13,-1.83,-46.15,2.74,-1.22,-30.77,2.74,-1.22,-30.77
B11,1.83,1.83,0.00,0.00,3.04,1.22,66.67,3.65,1.83,100.00
B12,3.43,0.31,-3.12,-90.91,0.00,-3.43,-100.00,1.25,-2.18,-63.64
B13,4.28,1.53,-2.75,-64.29,0.61,-3.67,-85.71,0.92,-3.36,-78.57
B14,0.61,0.31,-0.31,-50.00,0.92,0.31,50.00,2.14,1.53,250.00
B15,7.16,0.00,-7.16,-100.00,0.00,-7.16,-100.00,0.98,-6.18,-86.36
B16,0.95,0.00,-0.95,-100.00,0.32,-0.63,-66.67,0.00,-0.95,-100.00
B17,7.84,0.00,-7.84,-100.00,1.25,-6.58,-84.00,0.00,-7.84,-100.00
B18,1.87,0.00,-1.87,-100.00,0.00,-1.87,-100.00,0.00,-1.87,-100.00
B19,3.54,0.00,-3.54,-100.00,7.09,3.54,100.00,***,***,***
B20,2.20,0.63,-1.57,-71.43,0.31,-1.89,-85.71,1.89,-0.31,-14.29
B21,2.46,0.31,-2.15,-87.50,0.92,-1.54,-62.50,1.23,-1.23,-50.00
B22,1.36,0.68,-0.68,-50.00,0.00,-1.36,-100.00,1.02,-0.34,-25.00
B23,3.81,0.00,-3.81,-100.00,0.00,-3.81,-100.00,1.27,-2.54,-66.67
B24,2.17,0.00,-2.17,-100.00,0.00,-2.17,-100.00,0.00,-2.17,-100.00
B25,4.34,0.00,-4.34,-100.00,0.93,-3.41,-78.57,0.93,-3.41,-78.57
B26,3.07,0.00,-3.07,-100.00,0.92,-2.15,-70.00,1.53,-1.53,-50.00
B27,5.86,0.00,-5.86,-100.00,0.31,-5.55,-94.74,0.31,-5.55,-94.74
B28,0.00,0.62,0.62,***,0.31,0.31,***,0.00,0.00,0.00
C01,0.62,***,***,***,0.92,0.31,50.00,0.63,0.02,3.25
C02,0.91,***,***,***,3.04,2.13,233.33,1.22,0.30,33.33
C03,4.98,***,***,***,2.79,-2.19,-43.98,5.60,0.62,12.50
C04,3.04,***,***,***,2.13,-0.91,-30.00,0.91,-2.13,-70.00
C05,1.23,***,***,***,0.31,-0.92,-75.00,0.00,-1.23,-100.00
C06,1.83,***,***,***,1.22,-0.61,-33.33,1.52,-0.30,-16.67
C07,4.26,***,***,***,2.44,-1.83,-42.86,4.57,0.30,7.14
C08,2.43,***,***,***,0.91,-1.52,-62.50,3.65,1.22,50.00
C09,4.29,***,***,***,5.51,1.23,28.57,3.68,-0.61,-14.29
C10,5.84,***,***,***,2.15,-3.69,-63.16,3.04,-2.80,-47.95
C11,2.74,***,***,***,0.61,-2.13,-77.78,1.52,-1.22,-44.44
C12,2.14,***,***,***,1.22,-0.92,-42.86,1.22,-0.92,-42.86
Mean,3.17,0.46,2.70,85.41,1.23,1.94,61.27,1.48,1.69,53.38
