ProjectUnit = FABCO1D08
Summary Report = Surface Fuels
Report Attribute = 1000-hr Rotten
Units = Tons per Acre

Macroplot,00Pro1-Attr,00Pre-Attr,00Pre-Diff,00Pre-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr02-Attr,01Yr02-Diff,01Yr02-%Diff,01Yr05-Attr,01Yr05-Diff,01Yr05-%Diff,01Yr09-Attr,01Yr09-Diff,01Yr09-%Diff,01Yr10-Attr,01Yr10-Diff,01Yr10-%Diff,01Yr17-Attr,01Yr17-Diff,01Yr17-%Diff,01Yr20-Attr,01Yr20-Diff,01Yr20-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Yr01-Attr,02Yr01-Diff,02Yr01-%Diff,02Yr03-Attr,02Yr03-Diff,02Yr03-%Diff,02Yr06-Attr,02Yr06-Diff,02Yr06-%Diff,02Yr02-Attr,02Yr02-Diff,02Yr02-%Diff
B:FABCO1D08:06,15.78,3.00,-12.78,-80.97,0.00,-15.78,-100.00,0.47,-15.30,-97.00,0.65,-15.13,-95.89,***,***,***,***,***,***,***,***,***,0.25,-15.52,-98.39,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:10,0.00,1.15,1.15,***,0.20,0.20,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,1.89,1.89,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:11,16.88,68.71,51.83,307.02,6.90,-9.99,-59.16,7.63,-9.25,-54.77,27.60,10.72,63.51,***,***,***,***,***,***,***,***,***,35.25,18.37,108.83,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:13,6.84,1.91,-4.93,-72.08,0.00,-6.84,-100.00,0.95,-5.88,-86.06,1.78,-5.06,-74.00,***,***,***,***,***,***,***,***,***,8.53,1.70,24.85,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:21,5.33,0.00,-5.33,-100.00,0.00,-5.33,-100.00,0.42,-4.91,-92.13,0.00,-5.33,-100.00,3.93,-1.40,-26.23,***,***,***,***,***,***,7.05,1.72,32.21,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:22,0.25,0.31,0.06,23.32,0.00,-0.25,-100.00,0.24,-0.01,-4.29,0.33,0.07,29.26,0.00,-0.25,-100.00,***,***,***,***,***,***,3.51,3.26,1289.06,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,10.04,10.04,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:04,***,11.50,***,***,0.00,***,***,0.00,***,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,0.00,***,***,0.00,***,***,***,***,***
B:FABCO1D08:05,***,3.27,***,***,0.00,***,***,0.00,***,***,0.00,***,***,0.00,***,***,14.74,***,***,***,***,***,***,***,***,***,***,***,9.27,***,***,***,***,***,0.00,***,***,0.69,***,***,***,***,***
B:FABCO1D08:07,***,8.55,***,***,7.07,***,***,13.88,***,***,13.90,***,***,4.59,***,***,8.68,***,***,***,***,***,***,***,***,***,***,***,12.62,***,***,***,***,***,13.40,***,***,0.00,***,***,***,***,***
