ProjectUnit = FABCO1D08
Summary Report = Surface Fuels
Report Attribute = 10-hr
Units = Tons per Acre

Macroplot,00Pro1-Attr,00Pre-Attr,00Pre-Diff,00Pre-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr02-Attr,01Yr02-Diff,01Yr02-%Diff,01Yr05-Attr,01Yr05-Diff,01Yr05-%Diff,01Yr09-Attr,01Yr09-Diff,01Yr09-%Diff,01Yr10-Attr,01Yr10-Diff,01Yr10-%Diff,01Yr17-Attr,01Yr17-Diff,01Yr17-%Diff,01Yr20-Attr,01Yr20-Diff,01Yr20-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Yr01-Attr,02Yr01-Diff,02Yr01-%Diff,02Yr03-Attr,02Yr03-Diff,02Yr03-%Diff,02Yr06-Attr,02Yr06-Diff,02Yr06-%Diff,02Yr02-Attr,02Yr02-Diff,02Yr02-%Diff
B:FABCO1D08:06,2.06,3.66,1.60,77.62,1.30,-0.77,-37.14,2.59,0.53,25.75,3.74,1.68,81.31,***,***,***,***,***,***,***,***,***,3.59,1.53,73.97,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:10,0.00,1.57,1.57,***,0.16,0.16,***,1.41,1.41,***,1.41,1.41,***,1.02,1.02,***,***,***,***,***,***,***,2.08,2.08,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:11,1.00,1.46,0.46,45.94,0.54,-0.46,-46.44,1.14,0.14,14.51,0.53,-0.47,-46.66,***,***,***,***,***,***,***,***,***,2.06,1.06,106.35,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:13,2.13,2.13,0.00,0.00,1.07,-1.07,-50.01,1.52,-0.61,-28.57,1.52,-0.61,-28.58,***,***,***,***,***,***,***,***,***,4.57,2.44,114.28,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:21,0.69,2.37,1.68,243.47,2.29,1.60,232.79,1.61,0.92,132.99,2.14,1.45,210.77,1.91,1.22,177.31,***,***,***,***,***,***,3.44,2.75,399.08,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:22,1.46,2.09,0.63,42.90,0.31,-1.15,-78.78,1.31,-0.15,-10.57,1.70,0.24,16.28,1.07,-0.39,-26.42,***,***,***,***,***,***,2.53,1.07,73.41,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:26,1.47,2.31,0.83,56.43,0.46,-1.01,-68.64,1.54,0.06,4.35,0.84,-0.63,-42.72,1.92,0.45,30.33,***,***,***,***,***,***,4.40,2.92,198.13,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:04,***,0.61,***,***,0.08,***,***,0.15,***,***,0.15,***,***,0.61,***,***,0.61,***,***,***,***,***,***,***,***,***,***,***,0.53,***,***,***,***,***,0.23,***,***,0.84,***,***,***,***,***
B:FABCO1D08:05,***,4.91,***,***,0.31,***,***,0.31,***,***,0.31,***,***,1.00,***,***,2.08,***,***,***,***,***,***,***,***,***,***,***,0.84,***,***,***,***,***,0.61,***,***,0.69,***,***,***,***,***
B:FABCO1D08:07,***,3.88,***,***,0.08,***,***,0.23,***,***,1.75,***,***,3.66,***,***,5.94,***,***,***,***,***,***,***,***,***,***,***,0.38,***,***,***,***,***,0.53,***,***,1.07,***,***,***,***,***
