ProjectUnit = POTR1T08
Summary Report = Surface Fuels
Report Attribute = Duff
Units = Tons per Acre

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff
B_FPOTR1T08_02,29.20,14.13,-15.07,-51.62,19.07,-10.13,-34.70,12.25,-16.95,-58.03,2.45,-26.75,-91.62
B_FPOTR1T08_03,4.74,3.94,-0.80,-16.84,1.47,-3.27,-68.95,2.89,-1.85,-38.95,1.80,-2.94,-62.11
Mean,16.97,9.03,7.94,46.76,10.27,6.70,39.49,7.57,9.40,55.37,2.12,14.85,87.50
