ProjectUnit = POTR1T08
Summary Report = Surface Fuels
Report Attribute = 1000-hr Rotten
Units = Tons per Acre

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff
B_FPOTR1T08_02,3.00,0.00,-3.00,-100.00,1.18,-1.82,-60.74,13.17,10.18,339.57,0.00,-3.00,-100.00
B_FPOTR1T08_03,0.00,0.00,0.00,0.00,0.40,0.40,***,2.01,2.01,***,0.00,0.00,0.00
Mean,1.50,0.00,1.50,100.00,0.79,0.71,47.55,7.59,-6.09,-406.67,0.00,1.50,100.00
