ProjectUnit = FPIPO1D09
Summary Report = Surface Fuels
Report Attribute = Litter depth
Units = Inches

Macroplot,00PR01-Attr,00PRE-Attr,00PRE-Diff,00PRE-%Diff,01POST-Attr,01POST-Diff,01POST-%Diff,01YR01-Attr,01YR01-Diff,01YR01-%Diff,01YR02-Attr,01YR02-Diff,01YR02-%Diff,01YR05-Attr,01YR05-Diff,01YR05-%Diff,01YR10-Attr,01YR10-Diff,01YR10-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YR01-Attr,02YR01-Diff,02YR01-%Diff,02YR02-Attr,02YR02-Diff,02YR02-%Diff,02YR05-Attr,02YR05-Diff,02YR05-%Diff,02YR10-Attr,02YR10-Diff,02YR10-%Diff,03POST-Attr,03POST-Diff,03POST-%Diff,03YR01-Attr,03YR01-Diff,03YR01-%Diff,03YR02-Attr,03YR02-Diff,03YR02-%Diff
FPIPO1D0902,1.59,1.77,0.19,11.65,0.48,-1.11,-69.76,1.00,-0.59,-37.17,0.39,-1.20,-75.43,***,***,***,***,***,***,0.23,-1.36,-85.83,***,***,***,0.34,-1.25,-78.74,1.83,0.25,15.43,0.97,-0.62,-39.06,0.35,-1.24,-77.80,0.55,-1.04,-65.51,0.46,-1.13,-71.34
FPIPO1D0904,1.44,1.84,0.41,28.17,0.62,-0.82,-57.22,0.70,-0.74,-51.30,0.84,-0.60,-41.39,***,***,***,***,***,***,0.38,-1.06,-73.57,***,***,***,0.98,-0.46,-32.17,1.28,-0.16,-11.13,1.00,-0.44,-30.61,0.39,-1.05,-73.22,0.51,-0.93,-64.87,0.70,-0.74,-51.65
FPIPO1D0903,***,1.49,***,***,0.07,***,***,1.07,***,***,0.91,***,***,***,***,***,***,***,***,0.04,***,***,0.21,***,***,0.86,***,***,1.25,***,***,1.70,***,***,0.27,***,***,0.62,***,***,0.45,***,***
FPIPO1D0913,***,0.95,***,***,***,***,***,0.96,***,***,***,***,***,1.64,***,***,1.92,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FPIPO1D0914,***,1.49,***,***,***,***,***,1.21,***,***,***,***,***,1.74,***,***,2.36,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FPIPO1D0915,***,2.24,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,1.51,1.63,-0.12,-7.82,0.39,1.12,74.33,0.99,0.53,34.74,0.72,0.80,52.73,1.69,-0.18,-11.74,2.14,-0.63,-41.56,0.22,1.30,85.79,0.21,1.30,86.12,0.72,0.79,52.18,1.45,0.06,4.02,1.22,0.29,19.34,0.34,1.18,77.80,0.56,0.96,63.20,0.53,0.98,64.71
