ProjectUnit = FPIPO1D09
Summary Report = Surface Fuels
Report Attribute = Duff depth
Units = Inches

Macroplot,00PR01-Attr,00PRE-Attr,00PRE-Diff,00PRE-%Diff,01POST-Attr,01POST-Diff,01POST-%Diff,01YR01-Attr,01YR01-Diff,01YR01-%Diff,01YR02-Attr,01YR02-Diff,01YR02-%Diff,01YR05-Attr,01YR05-Diff,01YR05-%Diff,01YR10-Attr,01YR10-Diff,01YR10-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YR01-Attr,02YR01-Diff,02YR01-%Diff,02YR02-Attr,02YR02-Diff,02YR02-%Diff,02YR05-Attr,02YR05-Diff,02YR05-%Diff,02YR10-Attr,02YR10-Diff,02YR10-%Diff,03POST-Attr,03POST-Diff,03POST-%Diff,03YR01-Attr,03YR01-Diff,03YR01-%Diff,03YR02-Attr,03YR02-Diff,03YR02-%Diff
FPIPO1D0902,0.72,0.90,0.18,25.09,0.12,-0.60,-83.97,0.04,-0.68,-94.43,0.27,-0.45,-63.07,***,***,***,***,***,***,0.05,-0.67,-92.68,***,***,***,0.29,-0.43,-59.23,0.46,-0.26,-36.59,0.08,-0.64,-89.55,0.06,-0.66,-91.29,0.09,-0.63,-87.46,0.03,-0.69,-96.17
FPIPO1D0904,1.20,1.73,0.53,43.66,0.09,-1.12,-92.93,0.12,-1.08,-90.02,0.33,-0.87,-72.35,***,***,***,***,***,***,0.18,-1.02,-84.82,***,***,***,0.28,-0.92,-76.72,0.40,-0.80,-66.74,0.16,-1.05,-87.11,0.07,-1.14,-94.59,0.11,-1.10,-91.27,0.05,-1.16,-96.26
FPIPO1D0903,***,2.02,***,***,0.03,***,***,0.21,***,***,0.05,***,***,***,***,***,***,***,***,0.00,***,***,0.02,***,***,0.38,***,***,0.32,***,***,0.30,***,***,0.00,***,***,0.01,***,***,0.01,***,***
FPIPO1D0913,***,1.33,***,***,***,***,***,1.54,***,***,***,***,***,0.42,***,***,0.73,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FPIPO1D0914,***,1.37,***,***,***,***,***,1.11,***,***,***,***,***,0.92,***,***,0.90,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FPIPO1D0915,***,0.87,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,0.96,1.37,-0.41,-42.53,0.08,0.88,91.93,0.60,0.36,37.19,0.21,0.75,77.69,0.67,0.29,30.34,0.81,0.15,15.17,0.08,0.88,91.84,0.02,0.94,98.18,0.32,0.64,67.01,0.39,0.57,59.11,0.18,0.78,81.68,0.04,0.92,95.57,0.07,0.89,92.88,0.03,0.93,97.22
