ProjectUnit = FPIPO1D09
Summary Report = Surface Fuels
Report Attribute = 10-hr
Units = Tons per Acre

Macroplot,00PR01-Attr,00PRE-Attr,00PRE-Diff,00PRE-%Diff,01POST-Attr,01POST-Diff,01POST-%Diff,01YR01-Attr,01YR01-Diff,01YR01-%Diff,01YR02-Attr,01YR02-Diff,01YR02-%Diff,01YR05-Attr,01YR05-Diff,01YR05-%Diff,01YR10-Attr,01YR10-Diff,01YR10-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YR01-Attr,02YR01-Diff,02YR01-%Diff,02YR02-Attr,02YR02-Diff,02YR02-%Diff,02YR05-Attr,02YR05-Diff,02YR05-%Diff,02YR10-Attr,02YR10-Diff,02YR10-%Diff,03POST-Attr,03POST-Diff,03POST-%Diff,03YR01-Attr,03YR01-Diff,03YR01-%Diff,03YR02-Attr,03YR02-Diff,03YR02-%Diff
FPIPO1D0902,1.24,0.62,-0.62,-49.85,0.69,-0.54,-43.86,0.62,-0.62,-49.78,1.09,-0.15,-11.99,***,***,***,***,***,***,0.31,-0.93,-74.93,***,***,***,0.94,-0.30,-24.13,1.64,0.40,32.54,0.39,-0.85,-68.62,0.62,-0.61,-49.50,0.47,-0.77,-62.28,0.47,-0.77,-62.07
FPIPO1D0904,1.78,1.00,-0.78,-43.78,0.00,-1.78,-100.00,0.38,-1.40,-78.46,0.08,-1.71,-95.73,***,***,***,***,***,***,0.08,-1.71,-95.73,***,***,***,0.54,-1.25,-69.93,1.15,-0.63,-35.38,0.54,-1.25,-69.88,0.38,-1.40,-78.42,0.69,-1.09,-61.18,0.62,-1.17,-65.34
FPIPO1D0903,***,0.54,***,***,0.23,***,***,0.84,***,***,0.99,***,***,***,***,***,***,***,***,1.38,***,***,1.38,***,***,3.59,***,***,2.60,***,***,1.15,***,***,0.23,***,***,0.23,***,***,1.98,***,***
FPIPO1D0913,***,2.01,***,***,***,***,***,0.80,***,***,***,***,***,1.33,***,***,3.30,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FPIPO1D0914,***,1.71,***,***,***,***,***,2.18,***,***,***,***,***,1.16,***,***,1.56,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FPIPO1D0915,***,1.07,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,1.51,1.16,0.35,23.28,0.31,1.20,79.62,0.96,0.55,36.16,0.72,0.79,52.39,1.25,0.26,17.33,2.43,-0.92,-60.79,0.59,0.92,61.09,1.38,0.13,8.82,1.69,-0.18,-11.76,1.80,-0.29,-18.90,0.69,0.82,54.27,0.41,1.10,72.68,0.46,1.05,69.34,1.02,0.49,32.22
