ProjectUnit = FPIPO1D09
Summary Report = Surface Fuels
Report Attribute = 1000-hr Rotten
Units = Tons per Acre

Macroplot,00PR01-Attr,00PRE-Attr,00PRE-Diff,00PRE-%Diff,01POST-Attr,01POST-Diff,01POST-%Diff,01YR01-Attr,01YR01-Diff,01YR01-%Diff,01YR02-Attr,01YR02-Diff,01YR02-%Diff,01YR05-Attr,01YR05-Diff,01YR05-%Diff,01YR10-Attr,01YR10-Diff,01YR10-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YR01-Attr,02YR01-Diff,02YR01-%Diff,02YR02-Attr,02YR02-Diff,02YR02-%Diff,02YR05-Attr,02YR05-Diff,02YR05-%Diff,02YR10-Attr,02YR10-Diff,02YR10-%Diff,03POST-Attr,03POST-Diff,03POST-%Diff,03YR01-Attr,03YR01-Diff,03YR01-%Diff,03YR02-Attr,03YR02-Diff,03YR02-%Diff
FPIPO1D0902,3.59,2.57,-1.02,-28.52,0.76,-2.83,-78.91,1.32,-2.27,-63.26,1.35,-2.24,-62.27,***,***,***,***,***,***,0.45,-3.14,-87.59,***,***,***,0.39,-3.20,-89.15,8.73,5.14,143.06,3.82,0.23,6.43,0.00,-3.59,-100.00,0.00,-3.59,-100.00,1.65,-1.94,-53.95
FPIPO1D0904,1.01,2.49,1.47,145.22,0.48,-0.54,-52.88,0.00,-1.01,-100.00,0.12,-0.90,-88.50,***,***,***,***,***,***,0.12,-0.90,-88.50,***,***,***,0.00,-1.01,-100.00,0.64,-0.38,-37.01,0.00,-1.01,-100.00,0.00,-1.01,-100.00,0.00,-1.01,-100.00,0.00,-1.01,-100.00
FPIPO1D0903,***,0.48,***,***,0.16,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,0.00,***,***,0.00,***,***,0.00,***,***,0.00,***,***,0.00,***,***,0.00,***,***,0.00,***,***,0.00,***,***
FPIPO1D0913,***,12.55,***,***,***,***,***,11.01,***,***,***,***,***,2.69,***,***,1.79,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FPIPO1D0914,***,9.80,***,***,***,***,***,24.11,***,***,***,***,***,5.67,***,***,8.02,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FPIPO1D0915,***,1.46,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,2.30,4.89,-2.59,-112.42,0.46,1.84,79.84,7.29,-4.99,-216.59,0.49,1.81,78.70,4.18,-1.88,-81.63,4.91,-2.60,-113.17,0.19,2.11,91.86,0.00,2.30,100.00,0.13,2.17,94.36,3.12,-0.82,-35.61,1.27,1.03,44.67,0.00,2.30,100.00,0.00,2.30,100.00,0.55,1.75,76.06
