ProjectUnit = FPIPO1D09
Summary Report = Surface Fuels
Report Attribute = Duff
Units = Tons per Acre

Macroplot,00PR01-Attr,00PRE-Attr,00PRE-Diff,00PRE-%Diff,01POST-Attr,01POST-Diff,01POST-%Diff,01YR01-Attr,01YR01-Diff,01YR01-%Diff,01YR02-Attr,01YR02-Diff,01YR02-%Diff,01YR05-Attr,01YR05-Diff,01YR05-%Diff,01YR10-Attr,01YR10-Diff,01YR10-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YR01-Attr,02YR01-Diff,02YR01-%Diff,02YR02-Attr,02YR02-Diff,02YR02-%Diff,02YR05-Attr,02YR05-Diff,02YR05-%Diff,02YR10-Attr,02YR10-Diff,02YR10-%Diff,03POST-Attr,03POST-Diff,03POST-%Diff,03YR01-Attr,03YR01-Diff,03YR01-%Diff,03YR02-Attr,03YR02-Diff,03YR02-%Diff
FPIPO1D0902,7.16,8.96,1.80,25.09,1.15,-6.01,-83.97,0.40,-6.76,-94.43,2.65,-4.52,-63.07,***,***,***,***,***,***,0.52,-6.64,-92.68,***,***,***,2.92,-4.24,-59.23,4.54,-2.62,-36.59,0.75,-6.41,-89.55,0.62,-6.54,-91.29,0.90,-6.26,-87.46,0.27,-6.89,-96.17
FPIPO1D0904,12.00,17.24,5.24,43.66,0.85,-11.16,-92.93,1.20,-10.81,-90.02,3.32,-8.68,-72.35,***,***,***,***,***,***,1.82,-10.18,-84.82,***,***,***,2.80,-9.21,-76.72,3.99,-8.01,-66.74,1.55,-10.46,-87.11,0.65,-11.36,-94.59,1.05,-10.96,-91.27,0.45,-11.55,-96.26
FPIPO1D0903,***,20.11,***,***,0.32,***,***,2.10,***,***,0.45,***,***,***,***,***,***,***,***,0.00,***,***,0.17,***,***,3.77,***,***,3.22,***,***,2.97,***,***,0.00,***,***,0.10,***,***,0.07,***,***
FPIPO1D0913,***,13.30,***,***,***,***,***,15.35,***,***,***,***,***,4.14,***,***,7.25,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FPIPO1D0914,***,13.65,***,***,***,***,***,11.06,***,***,***,***,***,9.21,***,***,9.01,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FPIPO1D0915,***,8.68,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,9.58,13.66,-4.08,-42.53,0.77,8.81,91.93,6.02,3.56,37.19,2.14,7.45,77.69,6.68,2.91,30.34,8.13,1.45,15.17,0.78,8.80,91.84,0.17,9.41,98.18,3.16,6.42,67.01,3.92,5.67,59.11,1.76,7.83,81.68,0.42,9.16,95.57,0.68,8.90,92.88,0.27,9.32,97.22
