ProjectUnit = FPIPO1D09
Summary Report = Surface Fuels
Report Attribute = 100-hr
Units = Tons per Acre

Macroplot,00PR01-Attr,00PRE-Attr,00PRE-Diff,00PRE-%Diff,01POST-Attr,01POST-Diff,01POST-%Diff,01YR01-Attr,01YR01-Diff,01YR01-%Diff,01YR02-Attr,01YR02-Diff,01YR02-%Diff,01YR05-Attr,01YR05-Diff,01YR05-%Diff,01YR10-Attr,01YR10-Diff,01YR10-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YR01-Attr,02YR01-Diff,02YR01-%Diff,02YR02-Attr,02YR02-Diff,02YR02-%Diff,02YR05-Attr,02YR05-Diff,02YR05-%Diff,02YR10-Attr,02YR10-Diff,02YR10-%Diff,03POST-Attr,03POST-Diff,03POST-%Diff,03YR01-Attr,03YR01-Diff,03YR01-%Diff,03YR02-Attr,03YR02-Diff,03YR02-%Diff
FPIPO1D0902,1.24,3.39,2.15,173.33,0.62,-0.62,-50.15,0.92,-0.32,-25.79,1.86,0.62,49.88,***,***,***,***,***,***,0.31,-0.93,-74.79,***,***,***,1.56,0.32,25.79,4.02,2.78,224.45,2.46,1.22,98.66,0.92,-0.32,-25.79,1.24,0.00,0.28,0.63,-0.61,-49.57
FPIPO1D0904,3.70,2.45,-1.25,-33.84,0.61,-3.09,-83.51,0.61,-3.09,-83.54,0.92,-2.79,-75.25,***,***,***,***,***,***,0.31,-3.40,-91.74,***,***,***,0.31,-3.39,-91.54,1.84,-1.87,-50.37,2.76,-0.94,-25.35,1.54,-2.17,-58.53,1.53,-2.17,-58.73,1.54,-2.16,-58.29
FPIPO1D0903,***,2.44,***,***,0.00,***,***,0.31,***,***,0.91,***,***,***,***,***,***,***,***,2.74,***,***,2.74,***,***,2.13,***,***,3.65,***,***,3.65,***,***,0.61,***,***,1.22,***,***,3.35,***,***
FPIPO1D0913,***,1.25,***,***,***,***,***,1.55,***,***,***,***,***,3.05,***,***,3.77,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FPIPO1D0914,***,1.85,***,***,***,***,***,3.41,***,***,***,***,***,2.77,***,***,2.48,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FPIPO1D0915,***,0.91,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,2.47,2.05,0.42,17.07,0.41,2.06,83.43,1.36,1.11,45.00,1.23,1.24,50.27,2.91,-0.44,-17.84,3.13,-0.65,-26.48,1.12,1.35,54.71,2.74,-0.27,-10.85,1.33,1.14,46.04,3.17,-0.70,-28.26,2.96,-0.49,-19.70,1.02,1.45,58.65,1.33,1.14,46.21,1.84,0.63,25.59
