ProjectUnit = FPIPO1D09
Summary Report = Surface Fuels
Report Attribute = 1000-hr Sound
Units = Tons per Acre

Macroplot,00PR01-Attr,00PRE-Attr,00PRE-Diff,00PRE-%Diff,01POST-Attr,01POST-Diff,01POST-%Diff,01YR01-Attr,01YR01-Diff,01YR01-%Diff,01YR02-Attr,01YR02-Diff,01YR02-%Diff,01YR05-Attr,01YR05-Diff,01YR05-%Diff,01YR10-Attr,01YR10-Diff,01YR10-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YR01-Attr,02YR01-Diff,02YR01-%Diff,02YR02-Attr,02YR02-Diff,02YR02-%Diff,02YR05-Attr,02YR05-Diff,02YR05-%Diff,02YR10-Attr,02YR10-Diff,02YR10-%Diff,03POST-Attr,03POST-Diff,03POST-%Diff,03YR01-Attr,03YR01-Diff,03YR01-%Diff,03YR02-Attr,03YR02-Diff,03YR02-%Diff
FPIPO1D0902,0.00,0.21,0.21,***,2.13,2.13,***,5.29,5.29,***,1.58,1.58,***,***,***,***,***,***,***,3.08,3.08,***,***,***,***,2.70,2.70,***,15.43,15.43,***,22.49,22.49,***,9.19,9.19,***,7.15,7.15,***,6.77,6.77,***
FPIPO1D0904,1.64,0.98,-0.66,-40.37,0.96,-0.68,-41.58,0.72,-0.92,-56.04,0.62,-1.02,-62.07,***,***,***,***,***,***,0.62,-1.02,-62.07,***,***,***,2.17,0.53,32.11,1.43,-0.21,-13.05,13.15,11.51,701.20,5.74,4.10,250.01,5.96,4.31,262.88,6.20,4.56,277.67
FPIPO1D0903,***,0.00,***,***,0.91,***,***,1.79,***,***,1.28,***,***,***,***,***,***,***,***,1.58,***,***,2.10,***,***,14.36,***,***,13.00,***,***,18.30,***,***,10.92,***,***,9.89,***,***,15.27,***,***
FPIPO1D0913,***,2.25,***,***,***,***,***,5.73,***,***,***,***,***,15.86,***,***,11.93,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FPIPO1D0914,***,1.32,***,***,***,***,***,1.82,***,***,***,***,***,1.99,***,***,1.05,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FPIPO1D0915,***,4.20,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,0.82,1.49,-0.67,-82.06,1.33,-0.51,-62.48,3.07,-2.25,-274.23,1.16,-0.34,-41.66,8.92,-8.10,-987.58,6.49,-5.67,-690.78,1.76,-0.94,-114.64,2.10,-1.28,-155.77,6.41,-5.59,-681.07,9.95,-9.13,-1112.95,17.98,-17.16,-2091.02,8.62,-7.80,-950.19,7.67,-6.85,-834.37,9.41,-8.59,-1046.94
