ProjectUnit = ALL_FMH
Summary Report = Surface Fuels
Report Attribute = Litter depth
Units = Inches

Macroplot,PR01-Attr,PR02-Attr,PR02-Diff,PR02-%Diff,PR03-Attr,PR03-Diff,PR03-%Diff,PR04-Attr,PR04-Diff,PR04-%Diff,Pre-Attr,Pre-Diff,Pre-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff,01Year1-Attr,01Year1-Diff,01Year1-%Diff,01Year2-Attr,01Year2-Diff,01Year2-%Diff,01Year5-Attr,01Year5-Diff,01Year5-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year20-Attr,01Year20-Diff,01Year20-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year1-Attr,02Year1-Diff,02Year1-%Diff,02Year2-Attr,02Year2-Diff,02Year2-%Diff,02Year5-Attr,02Year5-Diff,02Year5-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff,03Post-Attr,03Post-Diff,03Post-%Diff,03Year1-Attr,03Year1-Diff,03Year1-%Diff,03Year2-Attr,03Year2-Diff,03Year2-%Diff,03Year5-Attr,03Year5-Diff,03Year5-%Diff,03Year10-Attr,03Year10-Diff,03Year10-%Diff,04Post-Attr,04Post-Diff,04Post-%Diff
PIAB 02,1.39,***,***,***,***,***,***,***,***,***,0.60,-0.79,-56.65,***,***,***,0.22,-1.18,-84.53,0.26,-1.14,-81.65,0.57,-0.82,-58.99,***,***,***,***,***,***,0.36,-1.03,-74.10,0.49,-0.90,-64.93,0.36,-1.03,-73.92,0.33,-1.06,-76.08,0.51,-0.88,-63.13,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 03,1.09,***,***,***,***,***,***,***,***,***,0.89,-0.21,-18.81,0.12,-0.97,-89.22,0.09,-1.00,-91.51,0.21,-0.89,-81.19,0.28,-0.81,-74.08,0.21,-0.89,-81.19,***,***,***,0.25,-0.85,-77.52,0.20,-0.90,-82.11,0.45,-0.64,-58.94,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 04,1.64,***,***,***,***,***,***,***,***,***,0.70,-0.94,-57.23,0.13,-1.51,-91.93,0.17,-1.47,-89.65,0.38,-1.26,-76.86,0.40,-1.24,-75.49,0.67,-0.98,-59.51,***,***,***,0.00,-1.64,-100.00,0.05,-1.59,-96.80,0.18,-1.47,-89.19,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 05,0.93,***,***,***,***,***,***,***,***,***,0.96,0.03,3.49,0.30,-0.64,-68.28,0.22,-0.71,-76.34,0.50,-0.43,-46.51,1.08,0.15,15.86,0.50,-0.43,-45.97,***,***,***,0.14,-0.79,-85.22,0.13,-0.80,-85.75,0.44,-0.50,-53.23,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 06,0.67,***,***,***,***,***,***,***,***,***,0.76,0.10,14.23,0.41,-0.26,-38.95,0.22,-0.45,-67.42,0.25,-0.42,-62.55,0.54,-0.13,-18.73,***,***,***,***,***,***,***,***,***,0.28,-0.39,-58.80,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 09,0.69,***,***,***,***,***,***,***,***,***,0.56,-0.13,-18.55,0.03,-0.66,-96.00,0.03,-0.66,-95.27,0.02,-0.67,-97.09,0.29,-0.40,-58.18,0.41,-0.28,-40.00,***,***,***,0.02,-0.67,-97.82,0.04,-0.65,-93.82,0.05,-0.64,-92.73,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 11,1.54,0.76,-0.78,-50.65,0.54,-1.00,-64.77,***,***,***,1.36,-0.18,-11.85,0.33,-1.22,-78.90,0.62,-0.93,-60.06,0.56,-0.98,-63.64,0.43,-1.11,-72.08,0.85,-0.69,-44.97,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 13,0.84,***,***,***,***,***,***,***,***,***,0.71,-0.13,-15.27,0.38,-0.46,-55.09,0.47,-0.36,-43.41,0.63,-0.21,-24.55,0.76,-0.08,-8.98,***,***,***,***,***,***,0.04,-0.80,-95.21,0.22,-0.62,-73.95,0.29,-0.55,-65.57,0.50,-0.34,-40.12,***,***,***,0.22,-0.62,-74.25,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 14,1.06,1.01,-0.05,-4.48,***,***,***,***,***,***,1.10,0.03,3.30,0.05,-1.01,-95.28,0.26,-0.80,-75.47,0.31,-0.75,-70.52,0.77,-0.29,-27.36,1.39,0.33,30.90,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 15,0.83,***,***,***,***,***,***,***,***,***,0.69,-0.14,-17.12,0.37,-0.47,-55.86,0.64,-0.19,-23.12,0.84,0.01,0.90,0.80,-0.03,-3.60,***,***,***,***,***,***,0.17,-0.66,-79.28,0.32,-0.51,-61.56,0.33,-0.51,-60.96,0.49,-0.35,-41.74,***,***,***,0.22,-0.62,-74.17,0.38,-0.46,-54.95,***,***,***,***,***,***,***,***,***,0.25,-0.59,-70.57
