ProjectUnit = ALL_FMH
Summary Report = Surface Fuels
Report Attribute = Duff
Units = Tons per Acre

Macroplot,PR01-Attr,PR02-Attr,PR02-Diff,PR02-%Diff,PR03-Attr,PR03-Diff,PR03-%Diff,PR04-Attr,PR04-Diff,PR04-%Diff,Pre-Attr,Pre-Diff,Pre-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff,01Year1-Attr,01Year1-Diff,01Year1-%Diff,01Year2-Attr,01Year2-Diff,01Year2-%Diff,01Year5-Attr,01Year5-Diff,01Year5-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year20-Attr,01Year20-Diff,01Year20-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year1-Attr,02Year1-Diff,02Year1-%Diff,02Year2-Attr,02Year2-Diff,02Year2-%Diff,02Year5-Attr,02Year5-Diff,02Year5-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff,03Post-Attr,03Post-Diff,03Post-%Diff,03Year1-Attr,03Year1-Diff,03Year1-%Diff,03Year2-Attr,03Year2-Diff,03Year2-%Diff,03Year5-Attr,03Year5-Diff,03Year5-%Diff,03Year10-Attr,03Year10-Diff,03Year10-%Diff,04Post-Attr,04Post-Diff,04Post-%Diff
PIAB 18,18.41,***,***,***,***,***,***,***,***,***,24.79,6.38,34.66,3.48,-14.92,-81.07,1.01,-17.39,-94.49,2.34,-16.07,-87.30,2.51,-15.89,-86.34,***,***,***,***,***,***,0.49,-17.92,-97.36,0.44,-17.97,-97.60,0.88,-17.52,-95.21,5.07,-13.33,-72.44,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 19,9.88,***,***,***,***,***,***,***,***,***,16.94,7.06,71.43,15.04,5.16,52.23,2.78,-7.10,-71.88,7.01,-2.87,-29.02,10.67,0.79,8.04,***,***,***,***,***,***,0.75,-9.13,-92.41,0.09,-9.79,-99.11,0.00,-9.88,-100.00,2.91,-6.97,-70.54,***,***,***,0.18,-9.70,-98.21,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 20,24.48,***,***,***,***,***,***,***,***,***,31.80,7.32,29.91,1.54,-22.93,-93.69,0.93,-23.55,-96.22,4.59,-19.89,-81.26,16.36,-8.12,-33.15,***,***,***,***,***,***,0.71,-23.77,-97.12,0.00,-24.48,-100.00,0.00,-24.48,-100.00,1.28,-23.20,-94.77,***,***,***,7.14,-17.33,-70.81,4.15,-20.33,-83.06,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 23,15.26,15.57,0.31,2.02,21.43,6.17,40.46,28.18,12.92,84.68,20.99,5.73,37.57,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 26,6.35,***,***,***,***,***,***,***,***,***,9.61,3.26,51.39,6.70,0.35,5.56,8.29,1.94,30.56,7.37,1.01,15.97,7.14,0.79,12.50,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 27,22.67,28.05,5.38,23.74,***,***,***,***,***,***,18.48,-4.19,-18.48,3.04,-19.63,-86.58,2.25,-20.42,-90.08,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIEN 02,22.88,18.90,-3.98,-17.39,23.24,0.36,1.57,24.43,1.55,6.78,18.70,-4.18,-18.26,9.59,-13.29,-58.09,4.02,-18.86,-82.43,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIEN 04,8.75,10.43,1.67,19.09,15.04,6.29,71.82,14.21,5.45,62.27,17.55,8.79,100.45,4.62,-4.14,-47.27,6.53,-2.23,-25.45,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIEN 10,22.48,16.24,-6.25,-27.79,21.85,-0.64,-2.83,***,***,***,25.83,3.34,14.87,24.23,1.75,7.79,26.78,4.30,19.12,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIEN 13,30.40,20.85,-9.55,-31.41,***,***,***,***,***,***,25.99,-4.42,-14.53,12.02,-18.38,-60.47,2.63,-27.78,-91.36,3.30,-27.10,-89.14,4.85,-25.55,-84.03,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIEN 14,14.48,22.48,8.00,55.22,***,***,***,***,***,***,29.45,14.96,103.30,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIEN 16,12.81,14.92,2.11,16.46,12.54,-0.28,-2.17,***,***,***,20.02,7.20,56.21,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIEN 17,26.26,27.90,1.63,6.21,***,***,***,***,***,***,33.03,6.76,25.76,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPN 11,11.54,14.90,3.36,29.09,***,***,***,***,***,***,13.22,1.68,14.55,5.04,-6.51,-56.36,5.08,-6.46,-56.00,4.91,-6.63,-57.45,1.64,-9.91,-85.82,3.32,-8.23,-71.27,***,***,***,1.93,-9.61,-83.27,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPN 14,39.37,***,***,***,***,***,***,***,***,***,31.19,-8.18,-20.79,2.60,-36.77,-93.39,0.38,-38.99,-99.04,0.21,-39.16,-99.47,1.64,-37.73,-95.84,2.90,-36.47,-92.64,***,***,***,1.01,-38.36,-97.44,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPN 23,8.86,***,***,***,***,***,***,***,***,***,11.08,2.22,25.12,4.20,-4.66,-52.61,2.22,-6.63,-74.88,1.51,-7.35,-82.94,3.11,-5.75,-64.93,2.01,-6.84,-77.25,***,***,***,2.06,-6.80,-76.78,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPN 24,50.91,***,***,***,***,***,***,***,***,***,29.42,-21.49,-42.21,0.38,-50.53,-99.26,1.51,-49.40,-97.03,14.40,-36.52,-71.72,3.90,-47.01,-92.33,3.32,-47.60,-93.49,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPN 25,14.48,10.95,-3.53,-24.35,***,***,***,***,***,***,6.88,-7.60,-52.46,7.47,-7.01,-48.41,2.56,-11.92,-82.32,8.02,-6.46,-44.64,5.41,-9.07,-62.61,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPN 30,21.03,***,***,***,***,***,***,***,***,***,14.48,-6.55,-31.14,2.14,-18.89,-89.82,2.14,-18.89,-89.82,2.31,-18.72,-89.02,2.39,-18.64,-88.62,7.81,-13.22,-62.87,***,***,***,2.22,-18.80,-89.42,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO 03,3.97,***,***,***,***,***,***,***,***,***,3.87,-0.11,-2.70,2.84,-1.14,-28.65,0.43,-3.55,-89.19,1.03,-2.94,-74.05,0.09,-3.89,-97.84,***,***,***,***,***,***,0.39,-3.59,-90.27,0.13,-3.85,-96.76,0.86,-3.12,-78.38,0.34,-3.63,-91.35,2.02,-1.96,-49.19,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO 04,10.48,***,***,***,***,***,***,***,***,***,5.11,-5.37,-51.23,2.79,-7.69,-73.36,1.80,-8.68,-82.79,7.43,-3.05,-29.10,2.66,-7.82,-74.59,***,***,***,***,***,***,1.12,-9.37,-89.34,0.77,-9.71,-92.62,0.69,-9.80,-93.44,0.47,-10.01,-95.49,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO 18,12.42,15.00,2.58,20.76,12.46,0.04,0.35,***,***,***,20.50,8.08,65.05,3.35,-9.07,-73.01,2.28,-10.14,-81.66,5.67,-6.75,-54.33,9.20,-3.22,-25.95,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
