ProjectUnit = ALL_FMH
Summary Report = Surface Fuels
Report Attribute = Total
Units = Tons per Acre

Macroplot,PR01-Attr,PR02-Attr,PR02-Diff,PR02-%Diff,PR03-Attr,PR03-Diff,PR03-%Diff,PR04-Attr,PR04-Diff,PR04-%Diff,Pre-Attr,Pre-Diff,Pre-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff,01Year1-Attr,01Year1-Diff,01Year1-%Diff,01Year2-Attr,01Year2-Diff,01Year2-%Diff,01Year5-Attr,01Year5-Diff,01Year5-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year20-Attr,01Year20-Diff,01Year20-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year1-Attr,02Year1-Diff,02Year1-%Diff,02Year2-Attr,02Year2-Diff,02Year2-%Diff,02Year5-Attr,02Year5-Diff,02Year5-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff,03Post-Attr,03Post-Diff,03Post-%Diff,03Year1-Attr,03Year1-Diff,03Year1-%Diff,03Year2-Attr,03Year2-Diff,03Year2-%Diff,03Year5-Attr,03Year5-Diff,03Year5-%Diff,03Year10-Attr,03Year10-Diff,03Year10-%Diff,04Post-Attr,04Post-Diff,04Post-%Diff
PIAB 02,53.53,***,***,***,***,***,***,***,***,***,46.60,-6.93,-12.94,***,***,***,24.49,-29.04,-54.25,29.41,-24.11,-45.05,31.63,-21.90,-40.91,***,***,***,***,***,***,15.42,-38.11,-71.19,30.00,-23.53,-43.95,32.97,-20.55,-38.40,28.14,-25.38,-47.42,26.53,-26.99,-50.43,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 03,29.49,***,***,***,***,***,***,***,***,***,36.83,7.34,24.88,8.66,-20.83,-70.64,9.02,-20.47,-69.43,11.03,-18.46,-62.60,21.54,-7.95,-26.95,37.34,7.85,26.63,***,***,***,26.07,-3.42,-11.59,16.64,-12.85,-43.56,24.33,-5.16,-17.49,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 04,39.12,***,***,***,***,***,***,***,***,***,34.88,-4.24,-10.84,6.07,-33.05,-84.48,6.69,-32.44,-82.91,8.30,-30.82,-78.79,90.27,51.15,130.75,86.87,47.75,122.06,***,***,***,17.45,-21.67,-55.38,13.65,-25.48,-65.12,11.38,-27.74,-70.90,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 05,38.72,***,***,***,***,***,***,***,***,***,43.38,4.66,12.04,6.71,-32.01,-82.68,7.12,-31.59,-81.60,8.59,-30.13,-77.83,43.18,4.47,11.53,35.91,-2.80,-7.24,***,***,***,6.46,-32.25,-83.31,4.35,-34.36,-88.76,5.84,-32.87,-84.91,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 06,16.95,***,***,***,***,***,***,***,***,***,17.58,0.63,3.73,8.31,-8.64,-50.96,3.11,-13.84,-81.66,4.08,-12.87,-75.93,8.17,-8.78,-51.79,***,***,***,***,***,***,***,***,***,7.56,-9.39,-55.41,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 09,21.94,***,***,***,***,***,***,***,***,***,22.48,0.54,2.47,0.28,-21.66,-98.72,1.89,-20.05,-91.37,2.44,-19.50,-88.86,68.74,46.80,213.31,76.12,54.18,246.92,***,***,***,9.56,-12.38,-56.44,8.11,-13.83,-63.04,8.54,-13.40,-61.08,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 11,33.44,26.65,-6.78,-20.29,27.00,-6.44,-19.25,***,***,***,36.25,2.81,8.42,11.38,-22.05,-65.96,11.44,-22.00,-65.79,12.20,-21.24,-63.52,12.63,-20.81,-62.23,27.65,-5.78,-17.29,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 13,19.89,***,***,***,***,***,***,***,***,***,27.11,7.22,36.31,12.57,-7.31,-36.77,10.92,-8.96,-45.08,13.63,-6.26,-31.47,21.37,1.48,7.45,***,***,***,***,***,***,6.61,-13.28,-66.76,9.34,-10.54,-53.03,7.87,-12.02,-60.44,19.71,-0.18,-0.89,***,***,***,17.04,-2.85,-14.33,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 14,28.87,37.97,9.10,31.53,***,***,***,***,***,***,26.51,-2.36,-8.17,5.97,-22.90,-79.31,8.44,-20.43,-70.75,10.08,-18.79,-65.08,11.91,-16.96,-58.76,33.10,4.23,14.66,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 15,16.39,***,***,***,***,***,***,***,***,***,23.28,6.89,42.03,10.78,-5.61,-34.22,8.65,-7.74,-47.25,8.47,-7.92,-48.33,28.10,11.71,71.46,***,***,***,***,***,***,13.74,-2.65,-16.18,14.11,-2.28,-13.94,13.64,-2.75,-16.79,29.77,13.38,81.62,***,***,***,33.55,17.16,104.71,27.08,10.69,65.24,***,***,***,***,***,***,***,***,***,22.42,6.03,36.76
PIAB 16,36.23,***,***,***,***,***,***,***,***,***,39.04,2.81,7.76,28.05,-8.18,-22.57,22.44,-13.79,-38.06,25.30,-10.93,-30.16,26.09,-10.14,-27.99,***,***,***,***,***,***,3.18,-33.05,-91.22,2.99,-33.24,-91.75,4.79,-31.44,-86.79,25.62,-10.61,-29.29,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 17,42.24,***,***,***,***,***,***,***,***,***,38.81,-3.43,-8.13,6.87,-35.37,-83.74,8.34,-33.91,-80.27,7.61,-34.63,-81.98,13.09,-29.15,-69.01,***,***,***,***,***,***,5.36,-36.88,-87.31,6.49,-35.75,-84.64,6.05,-36.19,-85.68,13.69,-28.55,-67.59,***,***,***,3.24,-39.00,-92.33,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 18,52.88,***,***,***,***,***,***,***,***,***,57.45,4.57,8.65,14.52,-38.36,-72.53,12.59,-40.29,-76.20,15.71,-37.17,-70.29,21.00,-31.88,-60.28,***,***,***,***,***,***,66.42,13.54,25.60,64.49,11.61,21.96,60.60,7.71,14.59,58.63,5.75,10.87,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 19,33.36,***,***,***,***,***,***,***,***,***,43.38,10.02,30.02,55.19,21.83,65.42,26.85,-6.51,-19.53,36.88,3.52,10.55,52.53,19.17,57.46,***,***,***,***,***,***,16.16,-17.20,-51.55,20.56,-12.81,-38.38,17.78,-15.58,-46.70,28.86,-4.50,-13.48,***,***,***,25.95,-7.41,-22.21,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 20,45.54,***,***,***,***,***,***,***,***,***,56.87,11.33,24.87,9.84,-35.71,-78.40,7.89,-37.66,-82.68,14.78,-30.77,-67.56,34.67,-10.87,-23.87,***,***,***,***,***,***,9.23,-36.31,-79.73,7.81,-37.74,-82.85,7.50,-38.05,-83.54,12.49,-33.05,-72.58,***,***,***,30.32,-15.23,-33.44,25.68,-19.87,-43.62,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 23,42.19,39.35,-2.84,-6.73,47.58,5.39,12.79,46.98,4.79,11.36,48.70,6.51,15.42,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 26,29.44,***,***,***,***,***,***,***,***,***,31.20,1.76,5.96,23.83,-5.61,-19.07,22.88,-6.57,-22.30,20.68,-8.76,-29.75,27.76,-1.68,-5.71,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 27,79.48,73.18,-6.30,-7.93,***,***,***,***,***,***,52.48,-27.00,-33.97,25.46,-54.02,-67.97,19.85,-59.63,-75.02,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIEN 02,50.06,30.40,-19.66,-39.27,33.84,-16.22,-32.40,34.11,-15.95,-31.86,27.59,-22.47,-44.88,16.89,-33.18,-66.27,9.37,-40.69,-81.28,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
