ProjectUnit = ALL_FMH
Summary Report = Surface Fuels
Report Attribute = Litter
Units = Tons per Acre

Macroplot,PR01-Attr,PR02-Attr,PR02-Diff,PR02-%Diff,PR03-Attr,PR03-Diff,PR03-%Diff,PR04-Attr,PR04-Diff,PR04-%Diff,Pre-Attr,Pre-Diff,Pre-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff,01Year1-Attr,01Year1-Diff,01Year1-%Diff,01Year2-Attr,01Year2-Diff,01Year2-%Diff,01Year5-Attr,01Year5-Diff,01Year5-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year20-Attr,01Year20-Diff,01Year20-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year1-Attr,02Year1-Diff,02Year1-%Diff,02Year2-Attr,02Year2-Diff,02Year2-%Diff,02Year5-Attr,02Year5-Diff,02Year5-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff,03Post-Attr,03Post-Diff,03Post-%Diff,03Year1-Attr,03Year1-Diff,03Year1-%Diff,03Year2-Attr,03Year2-Diff,03Year2-%Diff,03Year5-Attr,03Year5-Diff,03Year5-%Diff,03Year10-Attr,03Year10-Diff,03Year10-%Diff,04Post-Attr,04Post-Diff,04Post-%Diff
PIAB 18,4.18,***,***,***,***,***,***,***,***,***,3.80,-0.37,-8.97,1.34,-2.84,-67.93,1.80,-2.37,-56.81,2.20,-1.97,-47.24,3.49,-0.69,-16.47,***,***,***,***,***,***,0.58,-3.59,-86.03,0.92,-3.26,-78.02,0.80,-3.38,-80.86,1.43,-2.75,-65.86,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 19,4.54,***,***,***,***,***,***,***,***,***,2.98,-1.56,-34.29,3.23,-1.31,-28.81,1.23,-3.30,-72.86,3.34,-1.20,-26.43,3.22,-1.32,-29.05,***,***,***,***,***,***,0.42,-4.11,-90.71,0.48,-4.06,-89.52,0.84,-3.69,-81.43,1.27,-3.26,-71.90,***,***,***,0.66,-3.88,-85.48,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 20,5.33,***,***,***,***,***,***,***,***,***,2.74,-2.59,-48.58,1.67,-3.66,-68.62,2.41,-2.93,-54.86,2.70,-2.64,-49.39,3.89,-1.45,-27.13,***,***,***,***,***,***,0.22,-5.12,-95.95,0.27,-5.06,-94.94,1.02,-4.32,-80.97,1.54,-3.79,-71.05,***,***,***,2.01,-3.33,-62.35,1.50,-3.83,-71.86,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 23,4.86,2.76,-2.10,-43.11,4.42,-0.44,-9.11,3.42,-1.44,-29.56,2.45,-2.41,-49.56,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 26,2.34,***,***,***,***,***,***,***,***,***,2.62,0.28,11.98,2.15,-0.19,-8.29,2.26,-0.09,-3.69,2.26,-0.09,-3.69,1.52,-0.82,-35.02,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 27,6.95,4.08,-2.87,-41.30,***,***,***,***,***,***,3.21,-3.75,-53.88,0.93,-6.03,-86.65,0.59,-6.36,-91.46,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIEN 02,3.33,2.97,-0.36,-10.89,3.67,0.34,10.08,2.77,-0.56,-16.94,2.44,-0.89,-26.61,2.18,-1.16,-34.68,1.22,-2.11,-63.31,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIEN 04,2.35,4.65,2.30,97.71,3.56,1.21,51.43,3.18,0.83,35.43,1.65,-0.70,-29.71,1.34,-1.01,-42.86,0.93,-1.42,-60.57,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIEN 10,7.75,3.12,-4.63,-59.79,2.71,-5.04,-64.99,***,***,***,2.40,-5.35,-68.98,2.39,-5.36,-69.15,1.93,-5.82,-75.04,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIEN 13,4.96,3.44,-1.52,-30.62,***,***,***,***,***,***,3.72,-1.24,-24.93,1.52,-3.44,-69.38,1.72,-3.24,-65.31,1.03,-3.92,-79.13,1.54,-3.41,-68.83,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIEN 14,2.85,3.64,0.79,27.83,***,***,***,***,***,***,2.07,-0.78,-27.36,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIEN 16,4.03,4.30,0.27,6.67,3.29,-0.74,-18.33,***,***,***,3.01,-1.02,-25.33,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIEN 17,5.40,4.53,-0.87,-16.17,***,***,***,***,***,***,3.33,-2.07,-38.31,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPN 11,2.84,0.59,-2.25,-79.19,***,***,***,***,***,***,2.83,-0.01,-0.32,0.62,-2.22,-78.23,0.70,-2.14,-75.32,0.93,-1.91,-67.26,1.52,-1.32,-46.61,1.16,-1.68,-59.03,***,***,***,0.60,-2.24,-78.87,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPN 14,1.22,***,***,***,***,***,***,***,***,***,2.46,1.24,101.88,0.09,-1.13,-92.86,1.05,-0.16,-13.53,1.18,-0.04,-3.01,0.77,-0.44,-36.47,0.87,-0.35,-28.57,***,***,***,0.22,-1.00,-81.95,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPN 23,2.35,***,***,***,***,***,***,***,***,***,2.54,0.19,8.20,0.50,-1.85,-78.71,0.60,-1.75,-74.41,0.45,-1.90,-80.86,1.09,-1.26,-53.52,1.14,-1.21,-51.37,***,***,***,0.47,-1.88,-80.08,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPN 24,3.02,***,***,***,***,***,***,***,***,***,4.59,1.57,51.90,0.03,-2.99,-99.09,0.42,-2.60,-86.04,1.12,-1.90,-62.82,1.40,-1.62,-53.72,1.66,-1.36,-44.92,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPN 25,1.25,1.18,-0.06,-5.15,***,***,***,***,***,***,1.60,0.35,28.31,0.93,-0.32,-25.74,0.95,-0.29,-23.53,0.88,-0.37,-29.41,1.41,0.16,12.87,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPN 30,1.83,***,***,***,***,***,***,***,***,***,2.34,0.51,27.82,0.50,-1.32,-72.43,1.00,-0.82,-45.11,1.23,-0.60,-32.83,0.95,-0.88,-48.12,1.66,-0.17,-9.27,***,***,***,0.59,-1.24,-67.92,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO 03,0.89,***,***,***,***,***,***,***,***,***,1.16,0.27,29.96,0.29,-0.60,-67.32,0.42,-0.47,-52.53,0.78,-0.11,-12.84,1.51,0.61,68.87,***,***,***,***,***,***,1.25,0.36,40.08,0.96,0.07,8.17,0.47,-0.42,-47.08,0.81,-0.08,-8.95,1.82,0.93,103.89,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO 04,3.07,***,***,***,***,***,***,***,***,***,1.83,-1.24,-40.50,0.81,-2.26,-73.76,1.41,-1.66,-54.07,1.62,-1.44,-47.06,1.77,-1.30,-42.31,***,***,***,***,***,***,0.62,-2.44,-79.64,0.36,-2.71,-88.24,0.79,-2.28,-74.21,1.01,-2.06,-67.19,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO 18,3.55,2.10,-1.44,-40.70,3.30,-0.25,-7.05,***,***,***,3.25,-0.30,-8.41,0.80,-2.75,-77.50,1.00,-2.55,-71.82,1.81,-1.74,-49.12,1.70,-1.85,-52.05,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO 25,1.51,***,***,***,***,***,***,***,***,***,2.61,1.10,72.48,0.26,-1.25,-82.57,0.56,-0.95,-62.84,0.36,-1.15,-76.15,0.58,-0.94,-61.93,1.61,0.10,6.42,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO 27,1.31,3.45,2.14,162.96,***,***,***,***,***,***,2.25,0.94,71.43,0.69,-0.62,-47.09,1.04,-0.27,-20.63,1.09,-0.22,-16.93,1.85,0.53,40.74,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO 28,1.45,***,***,***,***,***,***,***,***,***,2.16,0.71,48.80,0.73,-0.72,-49.76,0.33,-1.12,-77.51,0.44,-1.01,-69.86,1.66,0.21,14.59,2.05,0.60,41.63,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO 29,3.02,3.58,0.56,18.62,2.51,-0.51,-16.78,***,***,***,2.36,-0.66,-21.95,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO 30,3.20,***,***,***,***,***,***,***,***,***,2.72,-0.48,-14.97,1.24,-1.96,-61.17,1.12,-2.08,-65.08,0.53,-2.67,-83.51,1.02,-2.18,-68.11,2.03,-1.17,-36.44,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO 32,1.55,***,***,***,***,***,***,***,***,***,1.51,-0.04,-2.69,1.00,-0.55,-35.43,0.65,-0.90,-58.30,0.37,-1.17,-75.78,1.03,-0.51,-33.18,1.06,-0.49,-31.39,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO 34,4.29,6.60,2.31,53.88,***,***,***,***,***,***,3.42,-0.87,-20.23,1.77,-2.52,-58.74,1.22,-3.07,-71.52,2.10,-2.19,-51.13,1.85,-2.44,-56.96,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 01,***,***,***,***,***,***,***,***,***,***,5.91,***,***,0.81,***,***,1.32,***,***,1.24,***,***,3.19,***,***,2.31,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 07,***,***,***,***,***,***,***,***,***,***,7.66,***,***,1.34,***,***,1.84,***,***,0.92,***,***,1.58,***,***,4.20,***,***,***,***,***,1.03,***,***,1.02,***,***,1.70,***,***,2.25,***,***,1.93,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 08,***,***,***,***,***,***,***,***,***,***,2.65,***,***,1.62,***,***,2.67,***,***,1.32,***,***,4.38,***,***,4.77,***,***,4.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 10,***,***,***,***,***,***,***,***,***,***,7.19,***,***,0.62,***,***,2.14,***,***,2.95,***,***,4.57,***,***,5.55,***,***,6.32,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 12,***,***,***,***,***,***,***,***,***,***,3.23,***,***,1.57,***,***,1.79,***,***,2.76,***,***,***,***,***,***,***,***,***,***,***,1.50,***,***,0.82,***,***,2.92,***,***,2.92,***,***,3.38,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 21,***,***,***,***,***,***,***,***,***,***,7.11,***,***,0.15,***,***,1.12,***,***,1.36,***,***,2.79,***,***,2.95,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 22,***,***,***,***,***,***,***,***,***,***,6.89,***,***,1.02,***,***,1.02,***,***,2.68,***,***,2.90,***,***,2.15,***,***,1.35,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 24,***,***,***,***,***,***,***,***,***,***,4.86,***,***,0.69,***,***,1.29,***,***,1.81,***,***,2.45,***,***,1.65,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 25,***,***,***,***,***,***,***,***,***,***,3.53,***,***,1.20,***,***,0.82,***,***,1.62,***,***,1.84,***,***,4.14,***,***,***,***,***,0.23,***,***,1.11,***,***,1.40,***,***,2.40,***,***,1.66,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIED 01,***,***,***,***,***,***,***,***,***,***,9.56,***,***,1.82,***,***,6.15,***,***,3.91,***,***,3.35,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIED 02,***,***,***,***,***,***,***,***,***,***,12.14,***,***,2.69,***,***,3.97,***,***,7.49,***,***,3.03,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIED 03,***,***,***,***,***,***,***,***,***,***,0.82,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIED 04,***,***,***,***,***,***,***,***,***,***,7.43,***,***,3.12,***,***,7.32,***,***,6.92,***,***,5.19,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIED 05,***,***,***,***,***,***,***,***,***,***,4.40,***,***,4.23,***,***,4.68,***,***,4.85,***,***,3.94,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIED 06,***,***,***,***,***,***,***,***,***,***,4.82,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIED 07,***,***,***,***,***,***,***,***,***,***,4.96,***,***,1.73,***,***,1.50,***,***,3.74,***,***,2.18,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIED 08,***,***,***,***,***,***,***,***,***,***,2.92,***,***,2.16,***,***,3.46,***,***,5.76,***,***,2.44,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIED 09,***,***,***,***,***,***,***,***,***,***,3.80,***,***,2.41,***,***,2.10,***,***,2.44,***,***,7.63,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIED 10,***,***,***,***,***,***,***,***,***,***,2.16,***,***,1.67,***,***,3.86,***,***,3.18,***,***,3.52,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIED 11,***,***,***,***,***,***,***,***,***,***,3.12,***,***,3.09,***,***,3.12,***,***,3.35,***,***,2.38,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIED 12,***,***,***,***,***,***,***,***,***,***,7.83,***,***,2.24,***,***,***,***,***,3.67,***,***,3.23,***,***,***,***,***,***,***,***,***,***,***,***,***,***,4.40,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIED 13,***,***,***,***,***,***,***,***,***,***,1.45,***,***,1.16,***,***,3.01,***,***,1.25,***,***,1.87,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIED 14,***,***,***,***,***,***,***,***,***,***,7.80,***,***,2.95,***,***,5.30,***,***,2.78,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIED 15,***,***,***,***,***,***,***,***,***,***,2.89,***,***,2.89,***,***,3.23,***,***,4.54,***,***,3.29,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
