ProjectUnit = ALL_FMH
Summary Report = Surface Fuels
Report Attribute = 1-hr
Units = Tons per Acre

Macroplot,PR01-Attr,PR02-Attr,PR02-Diff,PR02-%Diff,PR03-Attr,PR03-Diff,PR03-%Diff,PR04-Attr,PR04-Diff,PR04-%Diff,Pre-Attr,Pre-Diff,Pre-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff,01Year1-Attr,01Year1-Diff,01Year1-%Diff,01Year2-Attr,01Year2-Diff,01Year2-%Diff,01Year5-Attr,01Year5-Diff,01Year5-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year20-Attr,01Year20-Diff,01Year20-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year1-Attr,02Year1-Diff,02Year1-%Diff,02Year2-Attr,02Year2-Diff,02Year2-%Diff,02Year5-Attr,02Year5-Diff,02Year5-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff,03Post-Attr,03Post-Diff,03Post-%Diff,03Year1-Attr,03Year1-Diff,03Year1-%Diff,03Year2-Attr,03Year2-Diff,03Year2-%Diff,03Year5-Attr,03Year5-Diff,03Year5-%Diff,03Year10-Attr,03Year10-Diff,03Year10-%Diff,04Post-Attr,04Post-Diff,04Post-%Diff
PIAB 02,0.24,***,***,***,***,***,***,***,***,***,0.20,-0.04,-16.68,***,***,***,0.05,-0.19,-77.78,0.09,-0.15,-61.11,0.09,-0.16,-63.89,***,***,***,***,***,***,0.06,-0.18,-75.00,0.18,-0.06,-25.01,0.18,-0.07,-27.78,0.16,-0.09,-36.11,0.12,-0.12,-50.01,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 03,0.44,***,***,***,***,***,***,***,***,***,0.26,-0.18,-40.00,0.09,-0.35,-80.00,0.31,-0.13,-29.23,0.20,-0.24,-55.38,0.45,0.01,1.54,0.16,-0.28,-63.08,***,***,***,0.04,-0.40,-90.77,0.16,-0.28,-64.62,0.02,-0.42,-95.38,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 04,0.29,***,***,***,***,***,***,***,***,***,0.19,-0.10,-33.33,0.05,-0.24,-83.33,0.18,-0.11,-38.10,0.27,-0.02,-7.14,0.54,0.25,88.10,0.33,0.05,16.67,***,***,***,0.00,-0.29,-100.00,0.01,-0.27,-95.24,0.01,-0.27,-95.20,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 05,0.47,***,***,***,***,***,***,***,***,***,0.45,-0.03,-5.71,0.03,-0.44,-92.86,0.24,-0.23,-48.57,0.22,-0.25,-52.86,0.67,0.20,41.43,0.17,-0.30,-64.29,***,***,***,0.02,-0.45,-95.71,0.09,-0.38,-80.00,0.05,-0.43,-90.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 06,0.12,***,***,***,***,***,***,***,***,***,0.41,0.29,252.69,0.05,-0.06,-53.29,0.08,-0.03,-29.55,0.05,-0.07,-58.84,0.12,0.01,5.98,***,***,***,***,***,***,***,***,***,0.22,0.10,87.61,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 09,0.24,***,***,***,***,***,***,***,***,***,0.21,-0.03,-13.89,0.05,-0.20,-80.56,0.08,-0.16,-66.67,0.08,-0.16,-66.67,0.15,-0.09,-38.89,0.06,-0.18,-75.00,***,***,***,0.01,-0.23,-94.44,0.01,-0.23,-94.44,0.01,-0.24,-97.22,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 11,0.29,0.21,-0.08,-26.48,0.19,-0.10,-35.68,***,***,***,0.18,-0.11,-38.10,0.06,-0.23,-78.75,0.05,-0.23,-81.06,0.13,-0.16,-55.06,0.17,-0.12,-41.06,0.47,0.18,62.61,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 13,0.23,***,***,***,***,***,***,***,***,***,0.08,-0.14,-63.97,0.07,-0.16,-70.12,0.12,-0.11,-49.15,0.10,-0.12,-54.96,0.10,-0.12,-54.64,***,***,***,***,***,***,0.01,-0.21,-93.78,0.02,-0.21,-90.94,0.12,-0.11,-48.98,0.40,0.17,75.05,***,***,***,0.02,-0.21,-90.94,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 14,0.24,0.32,0.08,34.29,***,***,***,***,***,***,0.24,0.00,0.00,0.09,-0.15,-62.86,0.21,-0.03,-11.43,0.06,-0.18,-74.29,0.07,-0.17,-71.43,0.16,-0.08,-34.28,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 15,0.35,***,***,***,***,***,***,***,***,***,0.43,0.09,25.53,0.49,0.15,42.98,0.22,-0.13,-37.31,0.15,-0.20,-56.89,0.26,-0.08,-23.58,***,***,***,***,***,***,0.09,-0.25,-72.56,0.16,-0.18,-52.94,0.19,-0.16,-45.10,0.25,-0.09,-27.46,***,***,***,0.22,-0.13,-37.33,0.23,-0.12,-33.41,***,***,***,***,***,***,***,***,***,0.15,-0.20,-56.91
