ProjectUnit = ALL_FMH
Summary Report = Surface Fuels
Report Attribute = 1000-hr Sound
Units = Tons per Acre

Macroplot,PR01-Attr,PR02-Attr,PR02-Diff,PR02-%Diff,PR03-Attr,PR03-Diff,PR03-%Diff,PR04-Attr,PR04-Diff,PR04-%Diff,Pre-Attr,Pre-Diff,Pre-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff,01Year1-Attr,01Year1-Diff,01Year1-%Diff,01Year2-Attr,01Year2-Diff,01Year2-%Diff,01Year5-Attr,01Year5-Diff,01Year5-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year20-Attr,01Year20-Diff,01Year20-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year1-Attr,02Year1-Diff,02Year1-%Diff,02Year2-Attr,02Year2-Diff,02Year2-%Diff,02Year5-Attr,02Year5-Diff,02Year5-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff,03Post-Attr,03Post-Diff,03Post-%Diff,03Year1-Attr,03Year1-Diff,03Year1-%Diff,03Year2-Attr,03Year2-Diff,03Year2-%Diff,03Year5-Attr,03Year5-Diff,03Year5-%Diff,03Year10-Attr,03Year10-Diff,03Year10-%Diff,04Post-Attr,04Post-Diff,04Post-%Diff
PIAB 19,9.12,***,***,***,***,***,***,***,***,***,16.34,7.23,79.27,32.60,23.48,257.61,18.57,9.46,103.72,22.90,13.79,151.26,29.69,20.58,225.72,***,***,***,***,***,***,12.81,3.69,40.53,17.19,8.08,88.62,6.85,-2.26,-24.84,19.21,10.09,110.70,***,***,***,6.71,-2.40,-26.36,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 20,12.36,***,***,***,***,***,***,***,***,***,12.12,-0.24,-1.98,6.03,-6.33,-51.21,3.90,-8.46,-68.43,6.01,-6.36,-51.42,9.82,-2.54,-20.55,***,***,***,***,***,***,8.10,-4.26,-34.50,7.53,-4.84,-39.12,6.22,-6.14,-49.69,2.74,-9.62,-77.81,***,***,***,7.55,-4.81,-38.89,9.04,-3.33,-26.90,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 23,16.08,16.25,0.17,1.04,0.45,-15.63,-97.22,0.35,-15.73,-97.84,9.28,-6.80,-42.30,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 26,8.50,***,***,***,***,***,***,***,***,***,4.36,-4.15,-48.75,6.10,-2.41,-28.32,4.58,-3.92,-46.10,5.93,-2.57,-30.22,5.84,-2.66,-31.32,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 27,35.27,28.24,-7.03,-19.93,***,***,***,***,***,***,12.00,-23.27,-65.97,8.97,-26.30,-74.58,9.77,-25.50,-72.29,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIEN 02,0.55,1.68,1.14,207.84,2.77,2.22,406.47,1.94,1.39,254.05,0.19,-0.36,-65.19,0.19,-0.36,-65.19,0.19,-0.36,-65.42,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIEN 04,8.69,23.42,14.73,169.45,18.17,9.48,109.09,6.57,-2.12,-24.41,7.31,-1.38,-15.86,3.65,-5.04,-57.97,10.17,1.48,16.98,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIEN 10,10.78,11.53,0.75,6.94,9.37,-1.41,-13.07,***,***,***,10.42,-0.36,-3.37,10.42,-0.36,-3.37,22.37,11.59,107.52,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIEN 13,10.55,11.10,0.55,5.22,***,***,***,***,***,***,8.24,-2.30,-21.83,9.98,-0.57,-5.38,3.83,-6.71,-63.64,4.88,-5.67,-53.73,7.14,-3.41,-32.34,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIEN 14,20.20,32.97,12.77,63.21,***,***,***,***,***,***,12.61,-7.59,-37.58,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
