ProjectUnit = ALL_FMH
Summary Report = Surface Fuels
Report Attribute = 10-hr
Units = Tons per Acre

Macroplot,PR01-Attr,PR02-Attr,PR02-Diff,PR02-%Diff,PR03-Attr,PR03-Diff,PR03-%Diff,PR04-Attr,PR04-Diff,PR04-%Diff,Pre-Attr,Pre-Diff,Pre-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff,01Year1-Attr,01Year1-Diff,01Year1-%Diff,01Year2-Attr,01Year2-Diff,01Year2-%Diff,01Year5-Attr,01Year5-Diff,01Year5-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year20-Attr,01Year20-Diff,01Year20-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year1-Attr,02Year1-Diff,02Year1-%Diff,02Year2-Attr,02Year2-Diff,02Year2-%Diff,02Year5-Attr,02Year5-Diff,02Year5-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff,03Post-Attr,03Post-Diff,03Post-%Diff,03Year1-Attr,03Year1-Diff,03Year1-%Diff,03Year2-Attr,03Year2-Diff,03Year2-%Diff,03Year5-Attr,03Year5-Diff,03Year5-%Diff,03Year10-Attr,03Year10-Diff,03Year10-%Diff,04Post-Attr,04Post-Diff,04Post-%Diff
PIAB 02,1.50,***,***,***,***,***,***,***,***,***,2.25,0.75,49.99,***,***,***,0.52,-0.98,-65.39,0.87,-0.64,-42.30,0.92,-0.58,-38.46,***,***,***,***,***,***,0.52,-0.98,-65.38,0.87,-0.64,-42.30,0.64,-0.87,-57.69,1.04,-0.46,-30.77,0.75,-0.75,-50.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 03,0.69,***,***,***,***,***,***,***,***,***,1.15,0.46,66.67,0.46,-0.23,-33.33,0.69,0.00,0.00,1.04,0.35,50.00,1.39,0.69,100.00,2.48,1.79,258.33,***,***,***,0.46,-0.23,-33.33,0.98,0.29,41.67,0.92,0.23,33.33,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 04,1.10,***,***,***,***,***,***,***,***,***,1.51,0.41,36.84,0.12,-0.99,-89.47,0.17,-0.93,-84.21,0.58,-0.52,-47.37,3.13,2.03,184.21,3.77,2.67,242.11,***,***,***,0.06,-1.04,-94.74,0.52,-0.58,-52.63,0.06,-1.04,-94.66,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 05,1.04,***,***,***,***,***,***,***,***,***,2.25,1.21,116.67,0.17,-0.87,-83.34,0.17,-0.87,-83.34,0.52,-0.52,-50.00,1.67,0.64,61.11,1.73,0.69,66.67,***,***,***,0.00,-1.04,-100.00,0.52,-0.52,-50.00,0.35,-0.69,-66.67,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 06,0.94,***,***,***,***,***,***,***,***,***,1.23,0.29,31.03,0.29,-0.65,-69.06,0.41,-0.53,-56.26,0.88,-0.06,-6.26,1.29,0.35,37.39,***,***,***,***,***,***,***,***,***,1.40,0.47,49.82,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 09,1.04,***,***,***,***,***,***,***,***,***,1.27,0.23,22.22,0.12,-0.92,-88.89,0.00,-1.04,-100.00,0.23,-0.81,-77.78,2.14,1.10,105.56,1.04,0.00,0.00,***,***,***,0.00,-1.04,-100.00,0.12,-0.92,-88.89,0.06,-0.98,-94.44,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 11,1.02,1.99,0.97,95.87,0.94,-0.08,-7.99,***,***,***,1.17,0.15,14.99,0.70,-0.32,-31.34,0.82,-0.20,-19.81,0.76,-0.26,-25.69,0.64,-0.38,-37.07,1.80,0.79,77.25,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 13,1.59,***,***,***,***,***,***,***,***,***,1.76,0.17,10.95,0.69,-0.89,-56.23,0.98,-0.60,-38.04,0.75,-0.83,-52.50,1.00,-0.59,-37.18,***,***,***,***,***,***,0.12,-1.47,-92.57,0.06,-1.53,-96.36,0.18,-1.41,-88.64,1.70,0.11,7.11,***,***,***,0.99,-0.60,-37.62,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 14,0.58,1.50,0.92,160.00,***,***,***,***,***,***,2.14,1.56,270.00,0.12,-0.46,-80.00,0.40,-0.17,-30.00,0.64,0.06,10.00,0.64,0.06,10.00,2.08,1.50,260.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 15,1.21,***,***,***,***,***,***,***,***,***,1.27,0.06,4.76,1.16,-0.06,-4.82,0.52,-0.69,-57.16,0.46,-0.75,-61.92,0.87,-0.35,-28.61,***,***,***,***,***,***,1.04,-0.17,-14.34,1.39,0.17,14.24,1.10,-0.12,-9.55,1.56,0.35,28.58,***,***,***,1.27,0.06,4.68,1.67,0.46,37.96,***,***,***,***,***,***,***,***,***,1.21,0.00,-0.08
