ProjectUnit = FQUGA1D09
Summary Report = Surface Fuels
Report Attribute = 10-hr
Units = Tons per Acre

Macroplot,00PR01-Attr,00PRE-Attr,00PRE-Diff,00PRE-%Diff,01POST-Attr,01POST-Diff,01POST-%Diff,01YR01-Attr,01YR01-Diff,01YR01-%Diff,01YR02-Attr,01YR02-Diff,01YR02-%Diff,01YR05-Attr,01YR05-Diff,01YR05-%Diff,01YR10-Attr,01YR10-Diff,01YR10-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YR01-Attr,02YR01-Diff,02YR01-%Diff,02YR02-Attr,02YR02-Diff,02YR02-%Diff,02YR05-Attr,02YR05-Diff,02YR05-%Diff,02YR06-Attr,02YR06-Diff,02YR06-%Diff,03POST-Attr,03POST-Diff,03POST-%Diff,03YR02-Attr,03YR02-Diff,03YR02-%Diff,03YR05-Attr,03YR05-Diff,03YR05-%Diff,04POST-Attr,04POST-Diff,04POST-%Diff,04YR02-Attr,04YR02-Diff,04YR02-%Diff,04YR05-Attr,04YR05-Diff,04YR05-%Diff,05POST-Attr,05POST-Diff,05POST-%Diff,05YR02-Attr,05YR02-Diff,05YR02-%Diff,05YR05-Attr,05YR05-Diff,05YR05-%Diff,06POST-Attr,06POST-Diff,06POST-%Diff,06YR02-Attr,06YR02-Diff,06YR02-%Diff,06YR05-Attr,06YR05-Diff,06YR05-%Diff
FQUGA1D0906,0.95,0.56,-0.39,-40.90,***,***,***,0.80,-0.15,-16.25,0.48,-0.48,-49.95,0.95,-0.01,-0.53,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.40,-0.56,-58.48,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0910,0.38,0.38,0.00,0.40,***,***,***,0.23,-0.15,-39.97,0.23,-0.15,-39.39,0.23,-0.15,-40.05,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.31,-0.08,-19.77,0.00,-0.38,-100.00,***,***,***,0.46,0.08,20.39,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0915,0.23,0.54,0.31,133.11,***,***,***,1.08,0.85,365.71,0.46,0.23,98.64,0.78,0.54,233.28,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.23,0.00,-0.17,0.23,0.00,0.51,***,***,***,0.47,0.23,100.17,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0916,1.14,0.38,-0.76,-66.34,***,***,***,0.46,-0.68,-59.48,0.15,-0.99,-86.60,0.31,-0.83,-73.18,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.15,-0.99,-86.52,0.23,-0.91,-79.83,***,***,***,0.54,-0.60,-52.95,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0921,0.56,0.47,-0.08,-15.20,0.71,0.16,27.84,***,***,***,***,***,***,0.95,0.39,70.20,***,***,***,***,***,***,***,***,***,***,***,***,0.31,-0.24,-43.49,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0923,0.85,0.62,-0.23,-27.40,0.62,-0.23,-27.21,***,***,***,***,***,***,1.62,0.77,89.64,0.15,-0.70,-82.08,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0901,***,0.40,***,***,***,***,***,***,***,***,0.65,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.56,***,***,1.46,***,***
FQUGA1D0902,***,1.69,***,***,1.07,***,***,0.53,***,***,0.84,***,***,***,***,***,***,***,***,1.00,***,***,0.92,***,***,***,***,***,***,***,***,***,***,***,0.38,***,***,0.08,***,***,***,***,***,0.54,***,***,0.31,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.08,***,***,0.38,***,***,0.00,***,***
FQUGA1D0903,***,0.56,***,***,***,***,***,0.72,***,***,0.16,***,***,0.96,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.31,***,***,0.16,***,***,***,***,***,0.39,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0904,***,0.31,***,***,***,***,***,0.39,***,***,1.07,***,***,***,***,***,***,***,***,1.23,***,***,0.77,***,***,0.23,***,***,***,***,***,***,***,***,0.62,***,***,0.23,***,***,***,***,***,1.00,***,***,***,***,***,***,***,***,***,***,***,0.39,***,***,0.76,***,***,0.56,***,***,***,***,***,***,***,***
