ProjectUnit = FQUGA1D09
Summary Report = Surface Fuels
Report Attribute = Duff
Units = Tons per Acre

Macroplot,00PR01-Attr,00PRE-Attr,00PRE-Diff,00PRE-%Diff,01POST-Attr,01POST-Diff,01POST-%Diff,01YR01-Attr,01YR01-Diff,01YR01-%Diff,01YR02-Attr,01YR02-Diff,01YR02-%Diff,01YR05-Attr,01YR05-Diff,01YR05-%Diff,01YR10-Attr,01YR10-Diff,01YR10-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YR01-Attr,02YR01-Diff,02YR01-%Diff,02YR02-Attr,02YR02-Diff,02YR02-%Diff,02YR05-Attr,02YR05-Diff,02YR05-%Diff,02YR06-Attr,02YR06-Diff,02YR06-%Diff,03POST-Attr,03POST-Diff,03POST-%Diff,03YR02-Attr,03YR02-Diff,03YR02-%Diff,03YR05-Attr,03YR05-Diff,03YR05-%Diff,04POST-Attr,04POST-Diff,04POST-%Diff,04YR02-Attr,04YR02-Diff,04YR02-%Diff,04YR05-Attr,04YR05-Diff,04YR05-%Diff,05POST-Attr,05POST-Diff,05POST-%Diff,05YR02-Attr,05YR02-Diff,05YR02-%Diff,05YR05-Attr,05YR05-Diff,05YR05-%Diff,06POST-Attr,06POST-Diff,06POST-%Diff,06YR02-Attr,06YR02-Diff,06YR02-%Diff,06YR05-Attr,06YR05-Diff,06YR05-%Diff
FQUGA1D0912,***,8.01,***,***,***,***,***,2.57,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,5.67,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0913,***,6.84,***,***,***,***,***,3.24,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,4.69,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0914,***,6.09,***,***,***,***,***,8.36,***,***,11.48,***,***,7.54,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.02,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0917,***,5.62,***,***,***,***,***,***,***,***,5.37,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.47,***,***
FQUGA1D0919,***,6.64,***,***,1.10,***,***,1.12,***,***,2.42,***,***,***,***,***,***,***,***,1.70,***,***,0.57,***,***,1.57,***,***,***,***,***,***,***,***,2.17,***,***,4.49,***,***,***,***,***,3.89,***,***,***,***,***,***,***,***,***,***,***,0.50,***,***,1.75,***,***,0.00,***,***,***,***,***,***,***,***
FQUGA1D0920,***,6.09,***,***,7.14,***,***,3.89,***,***,0.32,***,***,***,***,***,***,***,***,1.62,***,***,2.67,***,***,2.27,***,***,***,***,***,***,***,***,4.34,***,***,***,***,***,4.92,***,***,***,***,***,***,***,***,0.60,***,***,***,***,***,1.20,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0922,***,1.60,***,***,0.20,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.32,***,***,1.32,***,***,***,***,***,0.52,***,***,0.27,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.00,***,***,0.00,***,***
FQUGA1D0924,***,1.80,***,***,3.29,***,***,***,***,***,0.92,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.32,***,***,***,***,***,***,***,***,3.12,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.15,***,***,***,***,***,0.59,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0925,***,5.52,***,***,8.76,***,***,8.19,***,***,1.25,***,***,***,***,***,***,***,***,***,***,***,0.80,***,***,0.80,***,***,***,***,***,***,***,***,3.24,***,***,***,***,***,3.17,***,***,***,***,***,***,***,***,0.50,***,***,***,***,***,0.64,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0926,***,1.12,***,***,4.57,***,***,2.60,***,***,0.00,***,***,***,***,***,***,***,***,1.25,***,***,2.97,***,***,1.12,***,***,***,***,***,***,***,***,3.24,***,***,1.12,***,***,2.10,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0927,***,0.90,***,***,***,***,***,***,***,***,5.91,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0918,***,***,***,***,***,***,***,***,***,***,3.14,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.70,***,***
Mean,5.99,6.28,-0.30,-4.97,4.81,1.18,19.68,5.17,0.81,13.60,4.23,1.75,29.26,7.30,-1.32,-22.01,1.30,4.69,78.32,3.35,2.63,43.97,2.58,3.40,56.87,2.07,3.92,65.45,0.20,5.79,96.66,5.41,0.58,9.62,2.78,3.20,53.48,2.00,3.99,66.58,3.39,2.59,43.29,1.36,4.63,77.29,1.91,4.08,68.10,0.42,5.57,93.05,0.00,5.99,100.00,0.82,5.17,86.31,2.10,3.89,64.98,0.09,5.90,98.57,0.00,5.99,100.00,0.35,5.64,94.16
