ProjectUnit = FQUGA1D09
Summary Report = Surface Fuels
Report Attribute = Total
Units = Tons per Acre

Macroplot,00PR01-Attr,00PRE-Attr,00PRE-Diff,00PRE-%Diff,01POST-Attr,01POST-Diff,01POST-%Diff,01YR01-Attr,01YR01-Diff,01YR01-%Diff,01YR02-Attr,01YR02-Diff,01YR02-%Diff,01YR05-Attr,01YR05-Diff,01YR05-%Diff,01YR10-Attr,01YR10-Diff,01YR10-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YR01-Attr,02YR01-Diff,02YR01-%Diff,02YR02-Attr,02YR02-Diff,02YR02-%Diff,02YR05-Attr,02YR05-Diff,02YR05-%Diff,02YR06-Attr,02YR06-Diff,02YR06-%Diff,03POST-Attr,03POST-Diff,03POST-%Diff,03YR02-Attr,03YR02-Diff,03YR02-%Diff,03YR05-Attr,03YR05-Diff,03YR05-%Diff,04POST-Attr,04POST-Diff,04POST-%Diff,04YR02-Attr,04YR02-Diff,04YR02-%Diff,04YR05-Attr,04YR05-Diff,04YR05-%Diff,05POST-Attr,05POST-Diff,05POST-%Diff,05YR02-Attr,05YR02-Diff,05YR02-%Diff,05YR05-Attr,05YR05-Diff,05YR05-%Diff,06POST-Attr,06POST-Diff,06POST-%Diff,06YR02-Attr,06YR02-Diff,06YR02-%Diff,06YR05-Attr,06YR05-Diff,06YR05-%Diff
FQUGA1D0911,***,17.47,***,***,14.86,***,***,12.75,***,***,12.50,***,***,***,***,***,***,***,***,8.46,***,***,8.62,***,***,***,***,***,***,***,***,***,***,***,14.89,***,***,12.70,***,***,***,***,***,8.35,***,***,11.99,***,***,***,***,***,***,***,***,***,***,***,***,***,***,6.54,***,***,6.94,***,***,0.00,***,***
FQUGA1D0912,***,18.29,***,***,***,***,***,5.27,***,***,1.95,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,14.05,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0913,***,27.77,***,***,***,***,***,8.21,***,***,0.91,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,12.42,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0914,***,11.93,***,***,***,***,***,16.14,***,***,15.51,***,***,17.58,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,3.26,***,***,3.55,***,***,***,***,***,4.33,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0917,***,21.56,***,***,***,***,***,***,***,***,9.41,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,4.95,***,***,31.49,***,***
FQUGA1D0919,***,22.70,***,***,5.87,***,***,8.70,***,***,9.51,***,***,***,***,***,***,***,***,4.87,***,***,4.33,***,***,5.02,***,***,***,***,***,***,***,***,6.65,***,***,11.56,***,***,***,***,***,10.83,***,***,***,***,***,***,***,***,***,***,***,8.72,***,***,10.09,***,***,1.21,***,***,***,***,***,***,***,***
FQUGA1D0920,***,20.73,***,***,14.60,***,***,8.22,***,***,5.75,***,***,***,***,***,***,***,***,6.33,***,***,7.16,***,***,3.29,***,***,***,***,***,***,***,***,6.98,***,***,***,***,***,10.73,***,***,***,***,***,***,***,***,17.54,***,***,***,***,***,23.45,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0922,***,17.52,***,***,3.14,***,***,2.10,***,***,5.56,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,5.35,***,***,4.05,***,***,***,***,***,2.59,***,***,8.34,***,***,***,***,***,***,***,***,***,***,***,***,***,***,3.30,***,***,6.20,***,***,6.51,***,***
FQUGA1D0924,***,8.85,***,***,9.51,***,***,***,***,***,6.77,***,***,***,***,***,***,***,***,***,***,***,***,***,***,5.79,***,***,***,***,***,***,***,***,6.43,***,***,***,***,***,***,***,***,***,***,***,***,***,***,4.46,***,***,***,***,***,11.64,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0925,***,16.95,***,***,22.27,***,***,17.99,***,***,10.46,***,***,***,***,***,***,***,***,***,***,***,4.61,***,***,4.63,***,***,***,***,***,***,***,***,5.27,***,***,***,***,***,13.34,***,***,***,***,***,***,***,***,53.72,***,***,***,***,***,40.70,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0926,***,11.07,***,***,8.20,***,***,6.13,***,***,5.40,***,***,***,***,***,***,***,***,4.36,***,***,6.11,***,***,4.58,***,***,***,***,***,***,***,***,6.84,***,***,5.17,***,***,8.65,***,***,***,***,***,***,***,***,***,***,***,2.65,***,***,3.64,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0927,***,6.28,***,***,***,***,***,***,***,***,11.09,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0918,***,***,***,***,***,***,***,***,***,***,7.99,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,3.59,***,***,10.38,***,***
Mean,18.60,16.81,1.78,9.59,10.46,8.14,43.78,11.42,7.17,38.57,9.33,9.27,49.82,15.27,3.33,17.91,27.71,-9.12,-49.01,8.63,9.97,53.60,8.48,10.12,54.40,6.56,12.04,64.72,5.48,13.11,70.51,12.09,6.51,35.01,7.46,11.14,59.88,8.02,10.57,56.86,10.91,7.69,41.35,5.71,12.89,69.30,10.04,8.56,46.01,25.24,-6.65,-35.73,2.65,15.95,85.75,16.24,2.35,12.65,10.69,7.90,42.50,3.37,15.23,81.89,6.00,12.60,67.76,10.33,8.27,44.46
