ProjectUnit = FQUGA1D09
Summary Report = Surface Fuels
Report Attribute = Litter
Units = Tons per Acre

Macroplot,00PR01-Attr,00PRE-Attr,00PRE-Diff,00PRE-%Diff,01POST-Attr,01POST-Diff,01POST-%Diff,01YR01-Attr,01YR01-Diff,01YR01-%Diff,01YR02-Attr,01YR02-Diff,01YR02-%Diff,01YR05-Attr,01YR05-Diff,01YR05-%Diff,01YR10-Attr,01YR10-Diff,01YR10-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YR01-Attr,02YR01-Diff,02YR01-%Diff,02YR02-Attr,02YR02-Diff,02YR02-%Diff,02YR05-Attr,02YR05-Diff,02YR05-%Diff,02YR06-Attr,02YR06-Diff,02YR06-%Diff,03POST-Attr,03POST-Diff,03POST-%Diff,03YR02-Attr,03YR02-Diff,03YR02-%Diff,03YR05-Attr,03YR05-Diff,03YR05-%Diff,04POST-Attr,04POST-Diff,04POST-%Diff,04YR02-Attr,04YR02-Diff,04YR02-%Diff,04YR05-Attr,04YR05-Diff,04YR05-%Diff,05POST-Attr,05POST-Diff,05POST-%Diff,05YR02-Attr,05YR02-Diff,05YR02-%Diff,05YR05-Attr,05YR05-Diff,05YR05-%Diff,06POST-Attr,06POST-Diff,06POST-%Diff,06YR02-Attr,06YR02-Diff,06YR02-%Diff,06YR05-Attr,06YR05-Diff,06YR05-%Diff
FQUGA1D0911,***,9.71,***,***,3.91,***,***,4.18,***,***,3.29,***,***,***,***,***,***,***,***,1.71,***,***,2.37,***,***,***,***,***,***,***,***,***,***,***,0.82,***,***,1.78,***,***,***,***,***,0.47,***,***,4.85,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.10,***,***,1.09,***,***,0.00,***,***
FQUGA1D0912,***,9.42,***,***,***,***,***,1.90,***,***,0.77,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.40,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0913,***,11.68,***,***,***,***,***,3.23,***,***,0.22,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.23,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0914,***,4.12,***,***,***,***,***,4.42,***,***,2.37,***,***,7.41,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.30,***,***,1.42,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0917,***,8.10,***,***,***,***,***,***,***,***,3.50,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.09,***,***,3.63,***,***
FQUGA1D0919,***,10.77,***,***,1.43,***,***,5.03,***,***,3.88,***,***,***,***,***,***,***,***,0.84,***,***,0.72,***,***,0.30,***,***,***,***,***,***,***,***,0.72,***,***,5.27,***,***,***,***,***,0.57,***,***,***,***,***,***,***,***,***,***,***,1.80,***,***,3.88,***,***,0.00,***,***,***,***,***,***,***,***
FQUGA1D0920,***,9.99,***,***,5.90,***,***,2.52,***,***,4.48,***,***,***,***,***,***,***,***,3.09,***,***,2.05,***,***,0.09,***,***,***,***,***,***,***,***,1.93,***,***,***,***,***,3.61,***,***,***,***,***,***,***,***,2.53,***,***,***,***,***,5.19,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0922,***,3.96,***,***,0.72,***,***,0.69,***,***,1.40,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.22,***,***,0.89,***,***,***,***,***,0.19,***,***,1.88,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.48,***,***,0.91,***,***,2.53,***,***
FQUGA1D0924,***,4.01,***,***,4.21,***,***,***,***,***,5.17,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.52,***,***,***,***,***,***,***,***,0.50,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.66,***,***,***,***,***,9.41,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0925,***,10.09,***,***,11.50,***,***,6.85,***,***,6.20,***,***,***,***,***,***,***,***,***,***,***,2.30,***,***,3.12,***,***,***,***,***,***,***,***,0.80,***,***,***,***,***,5.73,***,***,***,***,***,***,***,***,2.32,***,***,***,***,***,7.37,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0926,***,5.40,***,***,2.50,***,***,1.45,***,***,3.98,***,***,***,***,***,***,***,***,1.40,***,***,1.55,***,***,2.71,***,***,***,***,***,***,***,***,2.51,***,***,3.61,***,***,5.86,***,***,***,***,***,***,***,***,***,***,***,1.66,***,***,0.90,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0927,***,4.11,***,***,***,***,***,***,***,***,3.47,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0918,***,***,***,***,***,***,***,***,***,***,2.70,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.11,***,***,6.10,***,***
Mean,7.80,6.54,1.26,16.17,3.24,4.56,58.47,3.82,3.98,51.03,3.17,4.63,59.37,4.91,2.89,37.08,3.46,4.34,55.67,1.89,5.90,75.72,2.24,5.56,71.29,2.55,5.25,67.29,2.37,5.43,69.60,1.78,6.01,77.12,1.34,6.45,82.78,2.75,5.05,64.71,5.07,2.73,35.03,0.38,7.42,95.16,3.11,4.69,60.11,2.17,5.63,72.16,1.66,6.14,78.72,4.71,3.09,39.57,4.62,3.18,40.79,0.59,7.21,92.44,1.10,6.70,85.94,3.01,4.79,61.41
