ProjectUnit = FPIPO1T09
Summary Report = Surface Fuels
Report Attribute = 10-hr
Units = Tons per Acre

Macroplot,Pre00Year01-Attr,Pre00Year02-Attr,Pre00Year02-Diff,Pre00Year02-%Diff,Pre00-Attr,Pre00-Diff,Pre00-%Diff,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Post02-Attr,Post02-Diff,Post02-%Diff,Re02Year01-Attr,Re02Year01-Diff,Re02Year01-%Diff,Re02Year02-Attr,Re02Year02-Diff,Re02Year02-%Diff,Re02Year05-Attr,Re02Year05-Diff,Re02Year05-%Diff,Post03-Attr,Post03-Diff,Post03-%Diff,POST01YR01-Attr,POST01YR01-Diff,POST01YR01-%Diff
FPIPO1T0904,1.14,2.74,1.60,140.03,1.45,0.30,26.67,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.15,-0.99,-86.67
FPIPO1T0906,2.22,***,***,***,0.77,-1.45,-65.29,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.23,-1.99,-89.55
FPIPO1T0910,1.14,***,***,***,4.79,3.65,320.00,0.15,-0.99,-86.67,0.46,-0.68,-60.00,1.52,0.38,33.33,0.00,-1.14,-100.00,0.53,-0.61,-53.33,0.84,-0.30,-26.67,2.43,1.29,113.33,0.30,-0.84,-73.33,***,***,***
FPIPO1T0911,5.72,***,***,***,***,***,***,***,***,***,0.69,-5.03,-88.01,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FPIPO1T0912,0.69,2.06,1.38,200.77,1.76,1.08,156.94,***,***,***,0.08,-0.61,-88.84,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FPIPO1T0907,***,***,***,***,***,***,***,0.00,***,***,0.23,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FPIPO1T0908,***,***,***,***,1.83,***,***,0.00,***,***,0.15,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,2.18,2.40,-0.22,-10.12,2.12,0.06,2.84,0.05,2.13,97.68,0.32,1.86,85.34,1.52,0.66,30.26,0.00,2.18,100.00,0.53,1.65,75.59,0.84,1.34,61.64,2.43,-0.25,-11.58,0.30,1.88,86.05,0.19,1.99,91.20
