ProjectUnit = FPIPO1T09
Summary Report = Surface Fuels
Report Attribute = 1000-hr Sound
Units = Tons per Acre

Macroplot,Pre00Year01-Attr,Pre00Year02-Attr,Pre00Year02-Diff,Pre00Year02-%Diff,Pre00-Attr,Pre00-Diff,Pre00-%Diff,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Post02-Attr,Post02-Diff,Post02-%Diff,Re02Year01-Attr,Re02Year01-Diff,Re02Year01-%Diff,Re02Year02-Attr,Re02Year02-Diff,Re02Year02-%Diff,Re02Year05-Attr,Re02Year05-Diff,Re02Year05-%Diff,Post03-Attr,Post03-Diff,Post03-%Diff,POST01YR01-Attr,POST01YR01-Diff,POST01YR01-%Diff
FPIPO1T0904,0.00,0.29,0.29,***,22.37,22.37,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,6.08,6.08,***
FPIPO1T0906,8.40,***,***,***,9.73,1.33,15.79,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,6.62,-1.78,-21.14
FPIPO1T0910,0.00,***,***,***,6.61,6.61,***,4.93,4.93,***,3.42,3.42,***,3.98,3.98,***,0.89,0.89,***,0.51,0.51,***,6.06,6.06,***,32.52,32.52,***,38.13,38.13,***,***,***,***
FPIPO1T0911,48.61,***,***,***,***,***,***,***,***,***,1.89,-46.71,-96.10,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FPIPO1T0912,0.00,15.63,15.63,***,230.08,230.08,***,***,***,***,41.26,41.26,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FPIPO1T0907,***,***,***,***,***,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FPIPO1T0908,***,***,***,***,12.28,***,***,0.00,***,***,0.76,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,11.40,7.96,3.45,30.23,56.21,-44.81,-393.03,1.64,9.76,85.60,9.47,1.93,16.97,3.98,7.42,65.07,0.89,10.51,92.15,0.51,10.89,95.49,6.06,5.34,46.81,32.52,-21.12,-185.25,38.13,-26.73,-234.42,6.35,5.05,44.27
